CEP;UF;CIDADE;BAIRRO;LOGRADOURO
69900001;AC;Rio Branco;Base;Beco Estado do Acre
69900004;AC;Rio Branco;Base;Rua Barbosa Lima
69900007;AC;Rio Branco;Base;Travessa Feijó
69900010;AC;Rio Branco;Base;Rua Estado do Acre
69900013;AC;Rio Branco;Base;Travessa Cruzeiro do Sul
69900016;AC;Rio Branco;Base;Rua Sena Madureira
69900019;AC;Rio Branco;Base;Rua Xapuri
69900022;AC;Rio Branco;Base;Beco do Mercado
69900025;AC;Rio Branco;Base;Rua Floriano Peixoto
69900028;AC;Rio Branco;Base;Avenida Epaminondas Jácome
69900031;AC;Rio Branco;Base;Travessa Brasiléia
69900034;AC;Rio Branco;Base;Avenida Epaminondas Jácome
69900037;AC;Rio Branco;Base;Rua Plínio Brandão
69900040;AC;Rio Branco;Base;Travessa Tarauacá
69900043;AC;Rio Branco;Base;Rua Benjamim Constant
69900046;AC;Rio Branco;Base;Rua Floriano Peixoto
69900050;AC;Rio Branco;Centro;Avenida Epaminondas Jácome
69900052;AC;Rio Branco;Centro;Beco Arlindo
69900054;AC;Rio Branco;Centro;Praça dos Catraeiros
69900056;AC;Rio Branco;Centro;Avenida Epaminondas Jácome
69900058;AC;Rio Branco;Centro;Rua Arlindo Porto Leal
69900060;AC;Rio Branco;Centro;Avenida Getúlio Vargas
69900062;AC;Rio Branco;Centro;Rua Benjamim Constant
69900064;AC;Rio Branco;Centro;Rua Benjamim Constant
69900066;AC;Rio Branco;Centro;Rua Marechal Deodoro
69900068;AC;Rio Branco;Centro;Rua Marechal Deodoro
69900070;AC;Rio Branco;Centro;Rua Quintino Bocaiúva
69900072;AC;Rio Branco;Centro;Rua Sergipe
69900074;AC;Rio Branco;Centro;Travessa Sergipe
69900076;AC;Rio Branco;Centro;Avenida Brasil
69900078;AC;Rio Branco;Centro;Avenida Brasil
69900080;AC;Rio Branco;Centro;Rua Plácido de Castro
69900082;AC;Rio Branco;Centro;Rua Doutor Franco Ribeiro
69900084;AC;Rio Branco;Centro;Rua Rui Barbosa
69900086;AC;Rio Branco;Centro;Rua Fausto Robalo
69900088;AC;Rio Branco;Centro;Avenida Ceará
69900090;AC;Rio Branco;Centro;Rua Floriano Peixoto
69900092;AC;Rio Branco;Centro;Rua Rio Grande do Sul
69900094;AC;Rio Branco;Centro;Travessa da Catedral
69900096;AC;Rio Branco;Centro;Travessa da Igreja
69900098;AC;Rio Branco;Centro;Rua Graciliano Ramos
69900100;AC;Rio Branco;Papouco;Rua Floriano Peixoto
69900104;AC;Rio Branco;Papouco;Rua Marechal Rondon
69900108;AC;Rio Branco;Papouco;Rua Piauí
69900120;AC;Rio Branco;Preventório;Rua Rio Grande do Sul
69900123;AC;Rio Branco;Preventório;Rua 25 de Agosto
69900126;AC;Rio Branco;Preventório;Rua Goiás
69900129;AC;Rio Branco;Preventório;Rua Minas Gerais
69900132;AC;Rio Branco;Preventório;Rua Minas Gerais
69900135;AC;Rio Branco;Preventório;Travessa Érico Veríssimo
69900138;AC;Rio Branco;Preventório;Rua São Francisco de Assis
69900141;AC;Rio Branco;Preventório;Rua Santo Expedito
69900144;AC;Rio Branco;Preventório;Rua Chagas Leitoso
69900147;AC;Rio Branco;Preventório;Rua dos Santos
69900150;AC;Rio Branco;Preventório;Rua Rio Grande do Sul
69900153;AC;Rio Branco;Preventório;Rua São Geraldo
69900156;AC;Rio Branco;Preventório;Beco da Ligação I
69900159;AC;Rio Branco;Preventório;Rua Gabino Besouro
69900162;AC;Rio Branco;Preventório;Beco da Ligação II
69900165;AC;Rio Branco;Preventório;Beco da Ligação III
69900168;AC;Rio Branco;Preventório;Beco da Ligação IV
69900171;AC;Rio Branco;Preventório;Beco da Ligação V
69900174;AC;Rio Branco;Preventório;Rua Horácio Bandeira
69900177;AC;Rio Branco;Preventório;Rua Leblon
69900180;AC;Rio Branco;Preventório;Rua Minas Gerais
69900183;AC;Rio Branco;Preventório;Travessa Rosa Menezes
69900186;AC;Rio Branco;Preventório;Rua Minas Gerais
69900190;AC;Rio Branco;Ivete Vargas;Rua Leblon
69900193;AC;Rio Branco;Ivete Vargas;Rua Carneiro Leão
69900196;AC;Rio Branco;Ivete Vargas;Rua Itamaracá
69900199;AC;Rio Branco;Ivete Vargas;Travessa Leblon
69900202;AC;Rio Branco;Ivete Vargas;Rua João Reis
69900205;AC;Rio Branco;Ivete Vargas;Rua 13 de Maio
69900208;AC;Rio Branco;Ivete Vargas;Rua Armando Gama
69900211;AC;Rio Branco;Ivete Vargas;Rua Projetada 452
69900214;AC;Rio Branco;Ivete Vargas;Rua Rio de Janeiro
69900217;AC;Rio Branco;Ivete Vargas;Rua Almiro Daniel
69900220;AC;Rio Branco;Ivete Vargas;Rua 25 de Março
69900223;AC;Rio Branco;Ivete Vargas;Rua Fé de Deus
69900226;AC;Rio Branco;Ivete Vargas;Rua Hadjam
69900229;AC;Rio Branco;Ivete Vargas;Travessa Central
69900232;AC;Rio Branco;Ivete Vargas;Rua Boa Vista
69900235;AC;Rio Branco;Ivete Vargas;Avenida Central
69900238;AC;Rio Branco;Ivete Vargas;Travessa Princesa Isabel
69900241;AC;Rio Branco;Ivete Vargas;Rua São José
69900244;AC;Rio Branco;Ivete Vargas;Rua Belo Horizonte
69900247;AC;Rio Branco;Ivete Vargas;Rua Projetada 327
69900250;AC;Rio Branco;Ivete Vargas;Rua Osvaldo Cruz
69900253;AC;Rio Branco;Ivete Vargas;Beco Central
69900256;AC;Rio Branco;Ivete Vargas;Beco São José
69900259;AC;Rio Branco;Ivete Vargas;Rua Rio de Janeiro
69900262;AC;Rio Branco;Ivete Vargas;Rua Princesa
69900270;AC;Rio Branco;Dom Giocondo;Rua Rio de Janeiro
69900273;AC;Rio Branco;Dom Giocondo;Rua Rio de Janeiro
69900276;AC;Rio Branco;Dom Giocondo;Rua São Paulo
69900279;AC;Rio Branco;Dom Giocondo;Rua Major Ladislau Ferreira
69900282;AC;Rio Branco;Dom Giocondo;Rua Manoel Rodrigues de Souza
69900285;AC;Rio Branco;Dom Giocondo;Travessa Dom Giocondo
69900288;AC;Rio Branco;Dom Giocondo;Travessa dos Tratoristas
69900291;AC;Rio Branco;Dom Giocondo;Rua dos Professores
69900294;AC;Rio Branco;Dom Giocondo;Travessa Bom Pastor
69900297;AC;Rio Branco;Dom Giocondo;Rua Raimundo Gama
69900300;AC;Rio Branco;Dom Giocondo;Avenida Ceará
69900303;AC;Rio Branco;Dom Giocondo;Avenida Ceará
69900306;AC;Rio Branco;Dom Giocondo;Rua Pernambuco
69900309;AC;Rio Branco;Dom Giocondo;Rua Rio de Janeiro
69900312;AC;Rio Branco;Dom Giocondo;Rua Rio de Janeiro
69900315;AC;Rio Branco;Dom Giocondo;Rua Minas Gerais
69900318;AC;Rio Branco;Dom Giocondo;Rua Minas Gerais
69900321;AC;Rio Branco;Dom Giocondo;Rua Piauí
69900324;AC;Rio Branco;Dom Giocondo;Rua Rio Grande do Sul
69900327;AC;Rio Branco;Dom Giocondo;Rua Floriano Peixoto
69900330;AC;Rio Branco;Ipase;Avenida Ceará
69900333;AC;Rio Branco;Ipase;Rua Marechal Deodoro
69900336;AC;Rio Branco;Ipase;Rua Thaumaturgo de Azevedo
69900339;AC;Rio Branco;Ipase;Travessa Thaumaturgo de Azevedo
69900342;AC;Rio Branco;Ipase;Rua Ipase
69900345;AC;Rio Branco;Ipase;Rua João Donato
69900348;AC;Rio Branco;Ipase;Travessa Campo do Rio Branco
69900351;AC;Rio Branco;Ipase;Canal Canal da Maternidade
69900354;AC;Rio Branco;Ipase;Rua Marechal Deodoro
69900357;AC;Rio Branco;Ipase;Rua Antônio Monteiro
69900360;AC;Rio Branco;Ipase;Rua Alexandre Farhat
69900363;AC;Rio Branco;Ipase;Rua Silvestre Coelho
69900370;AC;Rio Branco;Bosque;Avenida Getúlio Vargas
69900373;AC;Rio Branco;Bosque;Avenida Getúlio Vargas
69900376;AC;Rio Branco;Bosque;Travessa da Maternidade
69900379;AC;Rio Branco;Bosque;Avenida Ceará
69900382;AC;Rio Branco;Bosque;Beco do Brejão
69900385;AC;Rio Branco;Bosque;Parque da Maternidade
69900388;AC;Rio Branco;Bosque;Travessa Copacabana
69900391;AC;Rio Branco;Bosque;Travessa São João
69900394;AC;Rio Branco;Bosque;Travessa São João II
69900397;AC;Rio Branco;Bosque;Travessa Municipalidade
69900400;AC;Rio Branco;Bosque;Rua Alagoas
69900403;AC;Rio Branco;Bosque;Rua José de Melo
69900406;AC;Rio Branco;Bosque;Rua Epaminondas Martins
69900409;AC;Rio Branco;Bosque;Travessa Hugo Carneiro
69900412;AC;Rio Branco;Bosque;Travessa Alagoas I
69900415;AC;Rio Branco;Bosque;Rua Antônio Camelo
69900418;AC;Rio Branco;Bosque;Rua João Onofre
69900421;AC;Rio Branco;Bosque;Rua Pernambuco
69900424;AC;Rio Branco;Bosque;Travessa Francisco Furtado
69900427;AC;Rio Branco;Bosque;Rua Alegre
69900430;AC;Rio Branco;Bosque;Beco Neutel Maia
69900433;AC;Rio Branco;Bosque;Rua Pernambuco
69900436;AC;Rio Branco;Bosque;Rua Manoel Cassiano
