CEP;UF;CIDADE;BAIRRO;LOGRADOURO
57010000;AL;Maceió;Prado;Avenida Siqueira Campos
57010001;AL;Maceió;Prado;Avenida Siqueira Campos
57010002;AL;Maceió;Prado;Avenida Siqueira Campos
57010003;AL;Maceió;Prado;Avenida Siqueira Campos
57010010;AL;Maceió;Prado;Rua Acadêmico José Macêdo França
57010015;AL;Maceió;Prado;Rua Santos Pacheco
57010020;AL;Maceió;Prado;Parque Municipal Doutor Afrânio Jorge
57010030;AL;Maceió;Prado;Rua Almirante Tamandaré
57010032;AL;Maceió;Prado;Conjunto São Jorge
57010035;AL;Maceió;Prado;Rua Augusto Vaz da Silva
57010040;AL;Maceió;Prado;Rua Álvares Cabral
57010050;AL;Maceió;Prado;Rua Álvaro Marinho
57010060;AL;Maceió;Prado;Avenida Amazonas
57010062;AL;Maceió;Prado;Vila Amazonas
57010065;AL;Maceió;Prado;Condomínio Canto dos Pássaros I
57010070;AL;Maceió;Prado;Avenida Assis Chateaubriand
57010072;AL;Maceió;Prado;Travessa Assis Chateaubriand
57010080;AL;Maceió;Prado;Rua Bento Craveiro Barbosa
57010085;AL;Maceió;Prado;Rua São João
57010087;AL;Maceió;Prado;Vila Josefa Matias
57010090;AL;Maceió;Prado;Rua Caramurus
57010091;AL;Maceió;Prado;Rua Caramurus
57010105;AL;Maceió;Prado;Rua Coronel Mendes da Fonseca
57010110;AL;Maceió;Prado;Praça Custódio de Melo
57010120;AL;Maceió;Prado;Rua Radialista Haroldo Miranda
57010130;AL;Maceió;Prado;Rua Dona Rosa da Fonseca
57010135;AL;Maceió;Prado;Travessa Dona Rosa da Fonseca
57010140;AL;Maceió;Prado;Rua Edgar de Góes Monteiro
57010145;AL;Maceió;Prado;Travessa Edgar de Goes Monteiro
57010147;AL;Maceió;Prado;Travessa da Areia
57010150;AL;Maceió;Prado;Rua João Lício Marques
57010157;AL;Maceió;Prado;Travessa Manaus
57010160;AL;Maceió;Prado;Rua Manaus
57010161;AL;Maceió;Prado;Rua Manaus
57010170;AL;Maceió;Prado;Rua Maranhão
57010172;AL;Maceió;Prado;Vila Tenório de Moura
57010180;AL;Maceió;Prado;Rua Miramar
57010190;AL;Maceió;Prado;Rua Zacarias de Azevedo
57010200;AL;Maceió;Prado;Rua Sargento Jayme Pantaleão
57010210;AL;Maceió;Prado;Rua Thomé Rocha de Souza Leão
57010220;AL;Maceió;Prado;Rua Vinte e Um de Abril
57010225;AL;Maceió;Prado;Rua Vinte e Um de Abril
57010230;AL;Maceió;Prado;Rua Conselheiro Francisco Vieira
57010240;AL;Maceió;Prado;Rua Desembargador Inocêncio Lins
57010242;AL;Maceió;Prado;Avenida Professor Loureiro
57010244;AL;Maceió;Prado;Rua Professor Virgílio Guedes
57010246;AL;Maceió;Prado;Rua Santa Catarina
57010248;AL;Maceió;Prado;Rua Boa Vista
57010250;AL;Maceió;Prado;Rua Doutor João Eulálio
57010252;AL;Maceió;Prado;Rua Professor Luiz Carlos de Souza Neto
57010254;AL;Maceió;Prado;Rua Farmacêutico José Rodrigues de Oliveira
57010256;AL;Maceió;Prado;Travessa Professor Luiz Carlos Souza Neto
57010258;AL;Maceió;Prado;Rua Tiradentes
57010260;AL;Maceió;Prado;Rua Franco Jatobá
57010262;AL;Maceió;Prado;Rua Monsenhor Luiz Barbosa
57010264;AL;Maceió;Prado;Rua Professor Paulo Senoullet
57010265;AL;Maceió;Prado;Rua Anthero Medeiros
57010266;AL;Maceió;Prado;Rua São Luiz
57010268;AL;Maceió;Prado;Rua Tabelião Euricles Protásio
57010270;AL;Maceió;Prado;Travessa Franco Jatobá
57010272;AL;Maceió;Prado;Rua Pio XII
57010274;AL;Maceió;Prado;Avenida Roberto Pontes Lima
57010280;AL;Maceió;Prado;Rua Rodrigues Alves
57010290;AL;Maceió;Prado;Rua Lourival Vieira Costa
57010291;AL;Maceió;Prado;Avenida Vieira Perdigão
57010295;AL;Maceió;Prado;Praça do Pirulito
57010300;AL;Maceió;Prado;Rua Comendador Teixeira Bastos
57010322;AL;Maceió;Prado;Avenida Doutor Miguel Omena
57010324;AL;Maceió;Prado;Rua Professora Maria José Loureiro Lima
57010330;AL;Maceió;Prado;Rua Piauí
57010340;AL;Maceió;Prado;Travessa dos Confidentes
57010350;AL;Maceió;Prado;Rua do Ceará
57010360;AL;Maceió;Prado;Travessa Calabar
57010364;AL;Maceió;Prado;Rua Xavier de Brito
57010366;AL;Maceió;Prado;Rua Xavier de Brito
57010368;AL;Maceió;Prado;Rua Agnelo Barbosa
57010369;AL;Maceió;Prado;Rua Primeiro de Maio
57010370;AL;Maceió;Trapiche da Barra;Rua Vinte e Oito de Setembro
57010371;AL;Maceió;Trapiche da Barra;Avenida Assis Chateaubriand
57010373;AL;Maceió;Trapiche da Barra;Largo Santa Cruz
57010374;AL;Maceió;Trapiche da Barra;Rua Aminadab Valente
57010375;AL;Maceió;Trapiche da Barra;Rua Coronel Adauto Gomes Barbosa
57010376;AL;Maceió;Trapiche da Barra;Rua Ary Pitombo
57010377;AL;Maceió;Trapiche da Barra;Rua Capitão Cantuário
57010378;AL;Maceió;Trapiche da Barra;Travessa Capitão Cantuário
57010380;AL;Maceió;Trapiche da Barra;Rua Doutor Paulo Neto
57010381;AL;Maceió;Trapiche da Barra;Rua Coronel Serafim Dutra Cavalcante
57010382;AL;Maceió;Trapiche da Barra;Rua Doutor Jorge de Lima
57010383;AL;Maceió;Trapiche da Barra;Rua Professor Luiz Lavenere Machado
57010384;AL;Maceió;Trapiche da Barra;Rua Professor Teonilo Gama
57010390;AL;Maceió;Trapiche da Barra;Rua Ubirajara
57010395;AL;Maceió;Trapiche da Barra;Avenida Siqueira Campos
57010400;AL;Maceió;Trapiche da Barra;Rua Guilherme Rogato
57010405;AL;Maceió;Trapiche da Barra;Avenida Siqueira Campos
57010410;AL;Maceió;Trapiche da Barra;Rua Jornalista Oséas Rosas
57010415;AL;Maceió;Trapiche da Barra;Avenida Siqueira Campos
57010420;AL;Maceió;Trapiche da Barra;Rua José Alves Barbosa
57010430;AL;Maceió;Trapiche da Barra;Rua Doutor Milton Ramires
57010440;AL;Maceió;Trapiche da Barra;Rua Riachuelo
57010445;AL;Maceió;Trapiche da Barra;Travessa Riachuelo
57010450;AL;Maceió;Trapiche da Barra;Rua Francisco Vieira
57010460;AL;Maceió;Trapiche da Barra;Travessa Francisco Vieira
57010470;AL;Maceió;Trapiche da Barra;Rua Benjamin Constant
57010475;AL;Maceió;Trapiche da Barra;Travessa Benjamin Constant
