CEP;UF;CIDADE;BAIRRO;LOGRADOURO
69001019;AM;Manaus;Margem Esquerda do Rio Negro;Margem Esquerda do Rio Negro
69005000;AM;Manaus;Centro;Rua Marechal Deodoro
69005010;AM;Manaus;Centro;Rua Barão de São Domingos
69005015;AM;Manaus;Centro;Avenida Lourenço da Silva Braga
69005020;AM;Manaus;Centro;Rua dos Barés
69005030;AM;Manaus;Centro;Rua Coronel Sérgio Pessoa
69005040;AM;Manaus;Centro;Rua Miranda Leão
69005050;AM;Manaus;Centro;Rua Marquês de Santa Cruz
69005060;AM;Manaus;Centro;Rua Rocha dos Santos
69005070;AM;Manaus;Centro;Avenida Floriano Peixoto
69005080;AM;Manaus;Centro;Avenida Joaquim Nabuco
69005090;AM;Manaus;Centro;Rua Leovegildo Coelho
69005100;AM;Manaus;Centro;Rua Pedro Botelho
69005110;AM;Manaus;Centro;Rua Quintino Bocaiúva
69005112;AM;Manaus;Centro;Vila Morgado
69005120;AM;Manaus;Centro;Rua Izabel
69005122;AM;Manaus;Centro;Vila Fortes
69005130;AM;Manaus;Centro;Rua José Paranaguá
69005132;AM;Manaus;Centro;Vila Tuma
69005136;AM;Manaus;Centro;Vila Cordeiro
69005140;AM;Manaus;Centro;Avenida 7 de Setembro
69005141;AM;Manaus;Centro;Avenida 7 de Setembro
69005150;AM;Manaus;Centro;Rua Theodoreto Souto
69005160;AM;Manaus;Centro;Avenida Eduardo Ribeiro
69005170;AM;Manaus;Centro;Travessa Tabelião Lessa
69005180;AM;Manaus;Centro;Rua dos Andradas
69005190;AM;Manaus;Centro;Travessa Mundurucus
69005200;AM;Manaus;Centro;Rua Doutor Almínio
69005203;AM;Manaus;Centro;Praça Waldemar Pedrosa
69005210;AM;Manaus;Centro;Travessa Cabral
69005212;AM;Manaus;Centro;Vila Martins
69005220;AM;Manaus;Centro;Rua Lima Bacuri
69005222;AM;Manaus;Centro;Vila Costa
69005224;AM;Manaus;Centro;Vila Maria Madalena
69005230;AM;Manaus;Centro;Praça Ribeiro Júnior
69005240;AM;Manaus;Centro;Travessa do Comércio
69005250;AM;Manaus;Centro;Rua Doutor Moreira
69005260;AM;Manaus;Centro;Praça Heliodoro Balbi
69005270;AM;Manaus;Centro;Rua Marcílio Dias
69005272;AM;Manaus;Centro;Vila Fátima
69005280;AM;Manaus;Centro;Praça Tenreiro Aranha
69005290;AM;Manaus;Centro;Travessa Marquês de Santa Cruz
69005300;AM;Manaus;Centro;Rua Guilherme Moreira
69005310;AM;Manaus;Centro;Rua Bernardo Ramos
69005313;AM;Manaus;Centro;Travessa Carolina
69005320;AM;Manaus;Centro;Praça Dom Pedro II
69005330;AM;Manaus;Centro;Rua Frei José dos Inocentes
69005332;AM;Manaus;Centro;Beco Simone
69005333;AM;Manaus;Centro;Beco Casimiro
