CEP;UF;CIDADE;BAIRRO;LOGRADOURO
68900010;AP;Macapá;Central;Avenida Coaracy Nunes
68900011;AP;Macapá;Central;Rua Tapajós
68900012;AP;Macapá;Central;Rua Rio Juruá
68900013;AP;Macapá;Central;Rua Amazonas
68900014;AP;Macapá;Central;Alameda Isac Alcolumbre
68900015;AP;Macapá;Central;Avenida Antônio Coelho de Carvalho
68900016;AP;Macapá;Central;Passagem Professora Cora de Carvalho
68900017;AP;Macapá;Central;Passagem Abraan Peres
68900020;AP;Macapá;Central;Avenida Mendonça Júnior
68900021;AP;Macapá;Central;Rua Manoel Eudóxio Pereira
68900022;AP;Macapá;Central;Rua Professor Tostes
68900030;AP;Macapá;Central;Avenida Padre Júlio Maria Lombaerd
68900031;AP;Macapá;Central;Vila Montese
68900032;AP;Macapá;Central;Avenida Salgado Filho
68900033;AP;Macapá;Central;Passagem José Serra e Silva
68900040;AP;Macapá;Central;Avenida Professora Cora de Carvalho
68900041;AP;Macapá;Central;Avenida Almirante Barroso
68900050;AP;Macapá;Central;Avenida General Gurjão
68900060;AP;Macapá;Central;Avenida Mendonça Furtado
68900062;AP;Macapá;Jesus de Nazaré;Avenida Padre Manoel da Nóbrega
68900065;AP;Macapá;Central;Rua Raimundo Ozanan
68900066;AP;Macapá;Central;Avenida Machado de Assis
68900067;AP;Macapá;Central;Rua Leopoldo Machado
68900068;AP;Macapá;Central;Rua Hamilton Silva
68900070;AP;Macapá;Central;Avenida Presidente Getúlio Vargas
68900071;AP;Macapá;Central;Avenida Duque de Caxias
68900072;AP;Macapá;Central;Avenida Euclides da Cunha
68900073;AP;Macapá;Central;Avenida FAB
68900074;AP;Macapá;Central;Avenida Raimundo Álvares da Costa
68900075;AP;Macapá;Central;Rua Jovino Dinoá
68900080;AP;Macapá;Central;Rua Francisco Azarias da Silva Coelho Neto
68900081;AP;Macapá;Central;Avenida Procópio Rola
68900082;AP;Macapá;Central;Rua General Rondon
68900083;AP;Macapá;Central;Rua Eliézer Levy
68900090;AP;Macapá;Central;Rua Independência
68900091;AP;Macapá;Central;Avenida Rio Maracá
68900092;AP;Macapá;Central;Avenida Rio Vila Nova
68900093;AP;Macapá;Central;Avenida Rio Matapi
68900094;AP;Macapá;Central;Rua Rio Tocantins
68900095;AP;Macapá;Central;Avenida Ataíde Teive
68900097;AP;Macapá;Central;Alameda Francisco Serrano
68900098;AP;Macapá;Central;Rua Tiradentes
68900099;AP;Macapá;Central;Avenida Iracema Carvão Nunes
68900100;AP;Macapá;Central;Rua Cândido Mendes
68900101;AP;Macapá;Central;Avenida Coriolano Jucá
68900102;AP;Macapá;Central;Praça da Bandeira
68900110;AP;Macapá;Central;Rua São José
68900115;AP;Macapá;Central;Avenida Henrique Galúcio
68900116;AP;Macapá;Central;Avenida Pedro Baião
68900151;AP;Macapá;Central;Rua Odilardo Silva
68900453;AP;Macapá;Central;Praça Barão do Rio Branco
68900700;AP;Macapá;Central;Travessa Floriano Peixoto
68900740;AP;Macapá;Central;Avenida Mário Cruz
68900760;AP;Macapá;Central;Passagem Rio Branco
68900800;AP;Macapá;Central;Praça Isaac Zagury
68900810;AP;Macapá;Central;Praça Veiga Cabral
68900840;AP;Macapá;Central;Praça Floriano Peixoto
68901016;AP;Macapá;Trem;Rua Eliézer Levy
68901017;AP;Macapá;Trem;Rua Odilardo Silva
68901018;AP;Macapá;Trem;Rua General Rondon
68901019;AP;Macapá;Trem;Avenida Antonio Gonçalves Tocantins
68901020;AP;Macapá;Trem;Rua Rio Macacoari
68901021;AP;Macapá;Trem;Rua Rio Pedreira
68901025;AP;Macapá;Trem;Avenida Feliciano Coelho
68901045;AP;Macapá;Trem;Praça Nossa Senhora da Conceição
68901050;AP;Macapá;Trem;Avenida Cônego Domingos Maltês
68901060;AP;Macapá;Trem;Avenida Maria Quitéria
68901076;AP;Macapá;Santa Rita;Avenida Procópio Rola
68901077;AP;Macapá;Santa Rita;Avenida Carlos Gomes
68901080;AP;Macapá;Trem;Avenida Desidério Antônio Coelho
68901090;AP;Macapá;Trem;Avenida Diógenes Silva
68901092;AP;Macapá;Trem;Avenida Acelino de Leão
68901100;AP;Macapá;Trem;Avenida Primeiro de Maio
68901110;AP;Macapá;Trem;Avenida Clodóvio Coelho
68901111;AP;Macapá;Trem;Avenida Felipe Camarão
68901112;AP;Macapá;Trem;Avenida Treze de Setembro
68901120;AP;Macapá;Trem;Rua Jovino Dinoá
68901121;AP;Macapá;Trem;Rua Rio Jupati
68901130;AP;Macapá;Trem;Rua Leopoldo Machado
68901140;AP;Macapá;Trem;Rua Hamilton Silva
68901150;AP;Macapá;Trem;Rua Manoel Eudóxio Pereira
68901254;AP;Macapá;Santa Rita;Avenida Mendonça Furtado
68901255;AP;Macapá;Santa Rita;Avenida Henrique Galúcio
68901256;AP;Macapá;Santa Rita;Avenida Raimundo Álvares da Costa
68901257;AP;Macapá;Santa Rita;Avenida Euclides da Cunha
68901258;AP;Macapá;Santa Rita;Avenida Duque de Caxias
68901259;AP;Macapá;Santa Rita;Avenida FAB
68901260;AP;Macapá;Santa Rita;Rua Paraná
68901261;AP;Macapá;Santa Rita;Rua Santa Catarina
68901262;AP;Macapá;Santa Rita;Avenida Presidente Getúlio Vargas
68901263;AP;Macapá;Santa Rita;Rua Rio Grande do Sul
68901264;AP;Macapá;Santa Rita;Passagem Santa Catarina
68901265;AP;Macapá;Santa Rita;Avenida Pedro Baião
68901266;AP;Macapá;Santa Rita;Rua do Canal
68901270;AP;Macapá;Santa Rita;Rua Santos Dumont
68901271;AP;Macapá;Santa Rita;Rua Hildemar Maia
68901275;AP;Macapá;Santa Rita;Avenida Ataíde Teive
68901280;AP;Macapá;Santa Rita;Avenida Antônio Coelho de Carvalho
68901281;AP;Macapá;Santa Rita;Avenida Salgado Filho
68901282;AP;Macapá;Santa Rita;Avenida Mendonça Júnior
68901283;AP;Macapá;Santa Rita;Avenida Padre Júlio Maria Lombaerd
68901285;AP;Macapá;Santa Rita;Avenida Feliciano Coelho
68901290;AP;Macapá;Santa Rita;Avenida Roque de Souza Penafort
68901291;AP;Macapá;Santa Rita;Avenida Pedro de Oliveira Gomes
68901295;AP;Macapá;Santa Rita;Avenida Cônego Domingos Maltês
68901300;AP;Macapá;Santa Rita;Avenida Francisco Valois Lima
68901301;AP;Macapá;Santa Rita;Rua Monteiro Lobato
68901305;AP;Macapá;Santa Rita;Avenida Maria Quitéria
68901315;AP;Macapá;Santa Rita;Avenida Acelino de Leão
68901316;AP;Macapá;Santa Rita;Rua Professor Tostes
68901320;AP;Macapá;Santa Rita;Avenida José Gomes Bezerra
68901325;AP;Macapá;Santa Rita;Avenida Desidério Antônio Coelho
68901326;AP;Macapá;Santa Rita;Avenida Diógenes Silva
68901330;AP;Macapá;Santa Rita;Avenida José da Silva Castro
68901335;AP;Macapá;Santa Rita;Avenida Professora Cora de Carvalho
68901336;AP;Macapá;Santa Rita;Avenida Almirante Barroso
68901340;AP;Macapá;Santa Rita;Rua Roberto Ferreira da Silva
68901341;AP;Macapá;Santa Rita;Rua Marcelo Cândia
68901342;AP;Macapá;Santa Rita;Rua Minas Gerais
68901345;AP;Macapá;Santa Rita;Avenida Vereador Orlando Pinto
68901346;AP;Macapá;Santa Rita;Avenida Doutor Silas Salgado
68901347;AP;Macapá;Santa Rita;Avenida Israel Marques Sozinho
68901348;AP;Macapá;Santa Rita;Avenida Reinaldo Damasceno
68901349;AP;Macapá;Santa Rita;Travessa Joaquim Pinheiro Borges
68901350;AP;Macapá;Santa Rita;Rua Barão de Mauá
68901370;AP;Macapá;Santa Inês;Rua Rio Gorijuba
68901380;AP;Macapá;Santa Inês;Rua Iraci Nunes Nadior
68901390;AP;Macapá;Santa Inês;Rua Rio Araguari
68901410;AP;Macapá;Santa Inês;Rua Oscar Santos
68901420;AP;Macapá;Santa Inês;Canal do Mucajá
68901430;AP;Macapá;Santa Inês;Rua Poços
68901440;AP;Macapá;Santa Inês;Rua Maria José Aragão de Souza
68901450;AP;Macapá;Santa Inês;Rua Álvaro Bezerra
68901460;AP;Macapá;Santa Inês;Rua André de Oliveira Costa
68901470;AP;Macapá;Santa Inês;Rua Beira Rio
68901480;AP;Macapá;Santa Inês;Rua José Trajano de Souza
68901481;AP;Macapá;Santa Inês;Travessa Oscar Santos
68901482;AP;Macapá;Santa Inês;Rua Mucajá
68901483;AP;Macapá;Santa Inês;Passarela do Mucajá
68901484;AP;Macapá;Santa Inês;Passagem do Mucajá
68901485;AP;Macapá;Santa Inês;Rua Santa Inês
68901486;AP;Macapá;Santa Inês;Travessa José Trajano
68901487;AP;Macapá;Santa Inês;Passarela Acelino de Leão
68901490;AP;Macapá;Santa Inês;Travessa Marco Zero
68901500;AP;Macapá;Santa Inês;Avenida dos Navegantes
68901510;AP;Macapá;Santa Inês;Rua Novo Horizonte
68901511;AP;Macapá;Santa Inês;Avenida Elpidio Magalhães Carvalho
68901520;AP;Macapá;Santa Inês;Avenida Seis de Setembro
68901530;AP;Macapá;Santa Inês;Avenida Eulálio Modesto de Oliveira
68901540;AP;Macapá;Santa Inês;Travessa Primeiro de Maio
68901541;AP;Macapá;Santa Inês;Avenida Pedro Lazarino
68901542;AP;Macapá;Santa Inês;Avenida Caramuru
68901543;AP;Macapá;Santa Inês;Travessa José Trajano de Souza
68901544;AP;Macapá;Santa Inês;Travessa Oscár Santos
