CEP;UF;CIDADE;BAIRRO;LOGRADOURO
40010000;BA;Salvador;Comércio;Avenida da França
40010010;BA;Salvador;Comércio;Rua da Grécia
40010020;BA;Salvador;Comércio;Avenida Estados Unidos
40010030;BA;Salvador;Comércio;Rua da Bélgica
40010040;BA;Salvador;Comércio;Rua da Espanha
40010050;BA;Salvador;Comércio;Rua da Holanda
40010060;BA;Salvador;Comércio;Rua da Noruega
40010080;BA;Salvador;Comércio;Rua da Suécia
40015000;BA;Salvador;Comércio;Rua Portugal
40015001;BA;Salvador;Comércio;Rua Portugal
40015010;BA;Salvador;Comércio;Rua Miguel Calmon
40015015;BA;Salvador;Comércio;Travessa Campos Sales
40015020;BA;Salvador;Comércio;Rua Pinto Martins
40015025;BA;Salvador;Comércio;Rua Estado de Israel
40015030;BA;Salvador;Comércio;Rua Lauro Muller
40015035;BA;Salvador;Comércio;Avenida Jequitaia
40015040;BA;Salvador;Comércio;Rua Frederico Castro Rebello
40015050;BA;Salvador;Comércio;Rua Visconde do Rosário
40015060;BA;Salvador;Comércio;Rua dos Algibebes
40015070;BA;Salvador;Comércio;Rua Conselheiro Dantas
40015080;BA;Salvador;Comércio;Rua Pedro Rodrigues Bandeira
40015090;BA;Salvador;Comércio;Rua Francisco Gonçalves
40015100;BA;Salvador;Comércio;Rua Conselheiro Saraiva
40015110;BA;Salvador;Comércio;Rua Torquato Bahia
40015120;BA;Salvador;Comércio;Praça Conde dos Arcos
40015130;BA;Salvador;Comércio;Rua da Argentina
40015140;BA;Salvador;Comércio;Praça da Inglaterra
40015150;BA;Salvador;Comércio;Rua da Polônia
40015160;BA;Salvador;Comércio;Avenida Lafayete Coutinho
40015161;BA;Salvador;Comércio;Praça dos Tupynambás
40015170;BA;Salvador;Comércio;Praça Visconde de Cayru
40015180;BA;Salvador;Comércio;Rua Santos Dumont
40015190;BA;Salvador;Comércio;Travessa Santa Bárbara
40015200;BA;Salvador;Comércio;Rua do Corpo Santo
40015250;BA;Salvador;Comércio;Rua da Conceição da Praia
40015270;BA;Salvador;Comércio;Avenida das Naus
40015280;BA;Salvador;Comércio;Rua dos Ourives
40015290;BA;Salvador;Comércio;Rua Guindaste dos Padres
40015300;BA;Salvador;Comércio;Rua Conselheiro Lafayete
40015310;BA;Salvador;Comércio;Rua Rodrigues Alves
40015315;BA;Salvador;Comércio;Rua Francisco Camerino
40015320;BA;Salvador;Comércio;Rua Conde D'Eu
40015330;BA;Salvador;Comércio;Rua Álvares Cabral
40015340;BA;Salvador;Comércio;Praça Marechal do Deodoro
40015360;BA;Salvador;Comércio;Rua José Pires de Albuquerque
40015370;BA;Salvador;Comércio;Rua Cruz Machado
40015380;BA;Salvador;Comércio;Rua do Julião
40015400;BA;Salvador;Comércio;Rua Diogo Dias
40015410;BA;Salvador;Comércio;Rua Fernão Cardim
40015420;BA;Salvador;Comércio;Praça Riachuelo
40015430;BA;Salvador;Comércio;Rua Riachuelo
40015440;BA;Salvador;Comércio;Rua Luís Murat
40015450;BA;Salvador;Comércio;Caminho Novo do Tabuão
40015460;BA;Salvador;Comércio;Rua São do João
40015480;BA;Salvador;Comércio;Túnel para Américo Simas
40015490;BA;Salvador;Comércio;Túnel para Américo Simas
40015500;BA;Salvador;Comércio;Beco do Adão
40015510;BA;Salvador;Comércio;Beco dos Algibebes
40015520;BA;Salvador;Comércio;Praça do Mercado
40015530;BA;Salvador;Comércio;Rua Alfredo Henrique de Azevedo
40015540;BA;Salvador;Comércio;Rua da Conceição
40015550;BA;Salvador;Comércio;Travessa do Cais do Ouro
40015560;BA;Salvador;Comércio;Travessa do Ministério
40015570;BA;Salvador;Comércio;Travessa do Pilar
40015580;BA;Salvador;Comércio;Ladeira do Pilar
40015590;BA;Salvador;Comércio;Rua do Pilar
40020000;BA;Salvador;Centro;Rua Chile
40020010;BA;Salvador;Centro;Praça Thomé de Souza
40020015;BA;Salvador;Centro;Rua Manoel Vitorino
40020020;BA;Salvador;Centro;Rua das Vassouras
40020025;BA;Salvador;Centro;Avenida Sá Ferreira
40020030;BA;Salvador;Centro;Travessa da Ajuda
40020035;BA;Salvador;Centro;Rua da Ajuda
40020036;BA;Salvador;Centro;Rua do Bispo
40020037;BA;Salvador;Centro;Beco do Sodré
40020039;BA;Salvador;Centro;Ladeira da Conceição da Praia
40020040;BA;Salvador;Centro;Travessa Vidal da Cunha
40020045;BA;Salvador;Centro;Rua Rodrigo Silva
40020056;BA;Salvador;Centro;Rua do Tesouro
40020060;BA;Salvador;Centro;Rua do Tira Chapéu
40020070;BA;Salvador;Centro;Rua Ruy Barbosa
40020160;BA;Salvador;Centro;Praça Castro Alves
40020176;BA;Salvador;Centro;Rua Barão Homem de Melo
40020180;BA;Salvador;Centro;Rua do Pau da Bandeira
40020200;BA;Salvador;Centro;Rua da Misericórdia
40020210;BA;Salvador;Centro;Praça da Sé
40020240;BA;Salvador;Centro;Rua Vinte e Oito de Setembro
40020246;BA;Salvador;Centro;Rua do Tijolo
40020247;BA;Salvador;Centro;Travessa do Tijolo
40020250;BA;Salvador;Centro;Rua do Saldanha
40020260;BA;Salvador;Centro;Rua Guedes de Brito
40020270;BA;Salvador;Centro;Rua Três de Maio
40020275;BA;Salvador;Centro;Ladeira da Ordem Terceira de São Francisco
40020280;BA;Salvador;Pelourinho;Largo do Cruzeiro de São Francisco
40020286;BA;Salvador;Centro;Rua do Bispo
40020290;BA;Salvador;Centro;Rua José Gonçalves
40020306;BA;Salvador;Centro;Rua da Oração
40020310;BA;Salvador;Centro;Rua São de Francisco
40020315;BA;Salvador;Centro;Avenida São Francisco
40020320;BA;Salvador;Centro;Ladeira da Praça
40020325;BA;Salvador;Centro;Avenida Cosme de Farias
40020340;BA;Salvador;Centro;Avenida Florinda
40020350;BA;Salvador;Centro;Avenida Laura
40020360;BA;Salvador;Centro;Beco do Seminário
40024080;BA;Salvador;Barroquinha;Rua Visconde de Itaparica
40024081;BA;Salvador;Barroquinha;Avenida José Joaquim Seabra
40024082;BA;Salvador;Barroquinha;Avenida José Joaquim Seabra
40024085;BA;Salvador;Barroquinha;Rua Araçarina
40024090;BA;Salvador;Barroquinha;Rua Curriachito
40024095;BA;Salvador;Barroquinha;Ladeira do Castanheda
40024106;BA;Salvador;Barroquinha;Ladeira da Barroquinha
40024108;BA;Salvador;Barroquinha;Largo São de Bento
40024110;BA;Salvador;Barroquinha;Rua Visconde de Ouro Preto
40024115;BA;Salvador;Barroquinha;Travessa Antônio Bahia
40024120;BA;Salvador;Barroquinha;Ladeira das Hortas
40024125;BA;Salvador;Barroquinha;Praça dos Veteranos
40024135;BA;Salvador;Barroquinha;Avenida Baltazar
40024136;BA;Salvador;Barroquinha;Praça da Barroquinha
40025000;BA;Salvador;Baixa dos Sapateiros;Avenida José Joaquim Seabra
40025001;BA;Salvador;Baixa dos Sapateiros;Avenida José Joaquim Seabra
40025005;BA;Salvador;Baixa dos Sapateiros;Baixa dos Sapateiros
40025006;BA;Salvador;Baixa dos Sapateiros;Baixa dos Sapateiros
40025310;BA;Salvador;Baixa dos Sapateiros;Rua das Flores
40025315;BA;Salvador;Baixa dos Sapateiros;Beco das Flores
40025325;BA;Salvador;Baixa dos Sapateiros;Vila Maria Pinto
40025335;BA;Salvador;Baixa dos Sapateiros;Travessa Constâncio Alves
40025345;BA;Salvador;Baixa dos Sapateiros;Avenida ABC
40025380;BA;Salvador;Baixa dos Sapateiros;Largo do Aquidaban
40025390;BA;Salvador;Baixa dos Sapateiros;Avenida Presidente Castelo Branco
40025420;BA;Salvador;Baixa dos Sapateiros;Beco do Girassol
40025490;BA;Salvador;Baixa dos Sapateiros;Vila Trindade
40025500;BA;Salvador;Baixa dos Sapateiros;Vila Maria Castro
40025520;BA;Salvador;Baixa dos Sapateiros;Travessa Silvany
40026010;BA;Salvador;Pelourinho;Largo Terreiro de Jesus
40026020;BA;Salvador;Pelourinho;Avenida Gouveia
40026030;BA;Salvador;Pelourinho;Ladeira de São Miguel
40026040;BA;Salvador;Pelourinho;Vila Dezoito
40026045;BA;Salvador;Pelourinho;Ladeira da Misericórdia
40026055;BA;Salvador;Pelourinho;Praça Ramos de Queiroz
40026070;BA;Salvador;Pelourinho;Rua Leovigildo de Carvalho
40026110;BA;Salvador;Pelourinho;Rua Santa Isabel
40026170;BA;Salvador;Pelourinho;Rua do Tabuão
40026180;BA;Salvador;Pelourinho;Rua do Açouguinho
40026190;BA;Salvador;Pelourinho;Travessa Ângelo Ferraz
40026210;BA;Salvador;Pelourinho;Ladeira do Ferrão
40026220;BA;Salvador;Pelourinho;Beco do Frazão
40026230;BA;Salvador;Pelourinho;Rua das Laranjeiras
40026240;BA;Salvador;Pelourinho;Rua Maciel de Baixo
40026250;BA;Salvador;Pelourinho;Rua Maciel de Cima
40026260;BA;Salvador;Pelourinho;Rua da Ordem Terceira
40026280;BA;Salvador;Pelourinho;Largo do Pelourinho
40026290;BA;Salvador;Pelourinho;Rua das Portas do Carmo
40026340;BA;Salvador;Pelourinho;Beco do Porvir
40026350;BA;Salvador;Pelourinho;Avenida José Joaquim Seabra
40040000;BA;Salvador;Nazaré;Rua do Paraíso
40040010;BA;Salvador;Nazaré;Rua Nova de São Bento
40040015;BA;Salvador;Nazaré;Avenida Engenheiro Silva Lima
40040020;BA;Salvador;Nazaré;Rua Onze de Junho
40040030;BA;Salvador;Nazaré;Rua Engenheiro Silva Lima
40040040;BA;Salvador;Nazaré;Travessa Henrique Facchinetti
40040050;BA;Salvador;Nazaré;Rua do Castanheda
40040060;BA;Salvador;Nazaré;Travessa Engenheiro Allioni
40040080;BA;Salvador;Nazaré;Rua da Palma
40040090;BA;Salvador;Nazaré;Rua da Mouraria
40040110;BA;Salvador;Nazaré;Praça Duque de Caxias
40040130;BA;Salvador;Nazaré;Rua Tristão Nunes
40040140;BA;Salvador;Nazaré;Rua do Bângala
40040150;BA;Salvador;Nazaré;Rua Américo Barreira
40040160;BA;Salvador;Nazaré;Travessa Sebastião Tourinho
40040170;BA;Salvador;Nazaré;Largo da Palma
40040180;BA;Salvador;Nazaré;Ladeira da Palma
40040210;BA;Salvador;Nazaré;Rua Pedro Carrascosa
40040230;BA;Salvador;Nazaré;Travessa Almirante Leal Ferreira
40040240;BA;Salvador;Nazaré;Rua do Carro
40040250;BA;Salvador;Nazaré;Vila Anselmo
40040260;BA;Salvador;Nazaré;Travessa Professor Antônio Borja
40040280;BA;Salvador;Nazaré;Largo do Campo da Pólvora
40040290;BA;Salvador;Nazaré;Ladeira do Bângala
40040320;BA;Salvador;Nazaré;Rua da Fonte do Gravatá
40040330;BA;Salvador;Nazaré;Rua do Gravatá
40040335;BA;Salvador;Nazaré;Vila dos Cravos
40040340;BA;Salvador;Nazaré;Ladeira da Independência
40040345;BA;Salvador;Nazaré;Avenida José Joaquim Seabra
40040346;BA;Salvador;Nazaré;Avenida José Joaquim Seabra
40040350;BA;Salvador;Nazaré;Rua Júlia Fetal
40040355;BA;Salvador;Nazaré;Ladeira do Prata
