CEP;UF;CIDADE;BAIRRO;LOGRADOURO
60010000;CE;Fortaleza;Moura Brasil;Avenida Presidente Castelo Branco
60010010;CE;Fortaleza;Moura Brasil;Rua Senador Jaguaribe
60010011;CE;Fortaleza;Moura Brasil;Rua Trilho de Ferro
60010020;CE;Fortaleza;Moura Brasil;Rua Braga Torres
60010030;CE;Fortaleza;Moura Brasil;Vila Valença
60010040;CE;Fortaleza;Moura Brasil;Rua dos Navegantes
60010043;CE;Fortaleza;Moura Brasil;Travessa Carmem
60010060;CE;Fortaleza;Moura Brasil;Travessa Santo Inácio III
60010070;CE;Fortaleza;Moura Brasil;Travessa Santo Inácio II
60010080;CE;Fortaleza;Moura Brasil;Travessa Santo Inácio I
60010090;CE;Fortaleza;Moura Brasil;Rua Santo Inácio
60010100;CE;Fortaleza;Moura Brasil;Rua Padre Mororó
60010110;CE;Fortaleza;Moura Brasil;Rua São Januário
60010112;CE;Fortaleza;Moura Brasil;Rua Verde Mar
60010120;CE;Fortaleza;Moura Brasil;Rua do Trilho
60010122;CE;Fortaleza;Moura Brasil;Praça Araripe Júnior
60010130;CE;Fortaleza;Moura Brasil;Rua Adarias de Lima
60010140;CE;Fortaleza;Moura Brasil;Travessa Balança Rvc
60010150;CE;Fortaleza;Moura Brasil;Rua ABC
60010160;CE;Fortaleza;Moura Brasil;Rua Valdelice
60010161;CE;Fortaleza;Moura Brasil;Travessa Merce
60010170;CE;Fortaleza;Moura Brasil;Travessa da Saudade
60010180;CE;Fortaleza;Moura Brasil;Rua Caucaia
60010190;CE;Fortaleza;Moura Brasil;Rua Cedro
60010200;CE;Fortaleza;Moura Brasil;Beco da Saudade
60010210;CE;Fortaleza;Moura Brasil;Travessa Senador Jaguaribe
60010220;CE;Fortaleza;Moura Brasil;Travessa João Felipe
60010230;CE;Fortaleza;Moura Brasil;Rua dos Moinhos
60010240;CE;Fortaleza;Centro;Rua Tijubana
60010250;CE;Fortaleza;Centro;Rua Agapito dos Santos
60010252;CE;Fortaleza;Centro;Vila Carmita
60010260;CE;Fortaleza;Centro;Rua Conselheiro Estelita
60010262;CE;Fortaleza;Centro;Vila Jerônimo Lopes
60010270;CE;Fortaleza;Centro;Rua Oto de Alencar
60010280;CE;Fortaleza;Jacarecanga;Avenida Filomeno Gomes
60010281;CE;Fortaleza;Jacarecanga;Avenida Filomeno Gomes
60010320;CE;Fortaleza;Jacarecanga;Travessa Francisco Sá
