CEP;UF;CIDADE;BAIRRO;LOGRADOURO
70040010;DF;Brasília;Asa Norte;Quadra SBN Quadra 1
70040020;DF;Brasília;Asa Norte;Quadra SBN Quadra 2
70040100;DF;Brasília;Asa Norte;Galeria Oeste
70040210;DF;Brasília;Asa Norte;Quadra SAUN Quadra 1
70040220;DF;Brasília;Asa Norte;Quadra SAUN Quadra 2
70040230;DF;Brasília;Asa Norte;Quadra SAUN Quadra 3
70040240;DF;Brasília;Asa Norte;Quadra SAUN Quadra 4
70040250;DF;Brasília;Asa Norte;Quadra SAUN Quadra 5
70050000;DF;Brasília;Zona Cívico-Administrativa;Esplanada dos Ministérios
70050115;DF;Brasília;Zona Cívico-Administrativa;Setor SGMN Bloco C
70070010;DF;Brasília;Asa Sul;Quadra SAUS Quadra 1
70070020;DF;Brasília;Asa Sul;Quadra SAUS Quadra 2
70070030;DF;Brasília;Asa Sul;Quadra SAUS Quadra 3
70070040;DF;Brasília;Asa Sul;Quadra SAUS Quadra 4
70070050;DF;Brasília;Asa Sul;Quadra SAUS Quadra 5
70070060;DF;Brasília;Asa Sul;Quadra SAUS Quadra 6
70070080;DF;Brasília;Asa Sul;Praça dos Tribunais Superiores
70070110;DF;Brasília;Asa Sul;Quadra SBS Quadra 1
70070120;DF;Brasília;Asa Sul;Quadra SBS Quadra 2
70070130;DF;Brasília;Asa Sul;Quadra SBS Quadra 3
70070140;DF;Brasília;Asa Sul;Quadra SBS Quadra 4
70070150;DF;Brasília;Zona Cívico-Administrativa;Setor SCTS
70070200;DF;Brasília;Zona Cívico-Administrativa;Setor SCTN
70070300;DF;Brasília;Zona Cívico-Administrativa;Esplanada da Torre
70070350;DF;Brasília;Zona Cívico-Administrativa;Setor SDC
70070500;DF;Brasília;Zona Cívico-Administrativa;Praça do Buriti
70070550;DF;Brasília;Zona Cívico-Administrativa;Praça Municipal
70070600;DF;Brasília;Zona Cívico-Administrativa;Setor SAFS Quadra
70070700;DF;Brasília;Asa Norte;Setor SRPN - Centro Poliesportivo Ayrton Senna
70070701;DF;Brasília;Asa Norte;Setor SRPN - Estádio Mané Garrincha
70070705;DF;Brasília;Asa Norte;Setor SRPN - Ginásio de Esportes Nilson Nelson
70070707;DF;Brasília;Asa Norte;Setor SRPN - Centro Aquático Ginásio Claudio Coutinho
70070710;DF;Brasília;Asa Norte;Setor SRPN - Autódromo Internacional Nelson Piquet
70070730;DF;Brasília;Asa Norte;Setor SRPN - Camping
70070750;DF;Brasília;Asa Norte;Setor SRPN Conjunto 1
70070770;DF;Brasília;Asa Norte;Setor SRPN Conjunto 2
70070778;DF;Brasília;Asa Norte;Setor SRPN Conjunto 2 Bloco 2-D
70071110;DF;Brasília;Asa Norte;Setor SAIN Lote 1
70071115;DF;Brasília;Asa Norte;Setor SAIN Lote 2
70071120;DF;Brasília;Asa Norte;Setor SAIN Lote 3
70071125;DF;Brasília;Asa Norte;Setor SAIN Lote 4
70077000;DF;Brasília;Asa Norte;Setor SDN
70089000;DF;Brasília;Zona Cívico-Administrativa;Estação Rodoviária de Brasília
70100000;DF;Brasília;Zona Cívico-Administrativa;Praça dos Três Poderes
70150000;DF;Brasília;Zona Cívico-Administrativa;Setor SPP
70200001;DF;Brasília;Asa Sul;Trecho SCES Trecho 1
70200002;DF;Brasília;Asa Sul;Trecho SCES Trecho 2
70200003;DF;Brasília;Asa Sul;Trecho SCES Trecho 3
70200004;DF;Brasília;Asa Sul;Trecho SCES Trecho 4
70200010;DF;Brasília;Asa Sul;Quadra SES 801
70200012;DF;Brasília;Asa Sul;Quadra SES 801 Conjunto A
70200014;DF;Brasília;Asa Sul;Quadra SES 801 Conjunto B
70200030;DF;Brasília;Asa Sul;Quadra SES 803
70200050;DF;Brasília;Asa Sul;Quadra SES 805
70200070;DF;Brasília;Asa Sul;Quadra SES 807
70200090;DF;Brasília;Asa Sul;Quadra SES 809
70200110;DF;Brasília;Asa Sul;Quadra SES 811
70200130;DF;Brasília;Asa Sul;Quadra SES 813
70200150;DF;Brasília;Asa Sul;Quadra SES 815
70200610;DF;Brasília;Asa Sul;Quadra SGAS 601
70200620;DF;Brasília;Asa Sul;Quadra SGAS 602
70200630;DF;Brasília;Asa Sul;Quadra SGAS 603
70200640;DF;Brasília;Asa Sul;Quadra SGAS 604
70200645;DF;Brasília;Asa Sul;Quadra SGAS 604/605
70200650;DF;Brasília;Asa Sul;Quadra SGAS 605
70200660;DF;Brasília;Asa Sul;Quadra SGAS 606
70200670;DF;Brasília;Asa Sul;Quadra SGAS 607
70200680;DF;Brasília;Asa Sul;Quadra SGAS 608
70200685;DF;Brasília;Asa Sul;Quadra SGAS 608/609
70200690;DF;Brasília;Asa Sul;Quadra SGAS 609
70200695;DF;Brasília;Asa Sul;Quadra SGAS 609/610
70200700;DF;Brasília;Asa Sul;Quadra SGAS 610
70200710;DF;Brasília;Asa Sul;Quadra SGAS 611
70200715;DF;Brasília;Asa Sul;Quadra SGAS 611/612
70200720;DF;Brasília;Asa Sul;Quadra SGAS 612
70200730;DF;Brasília;Asa Sul;Quadra SGAS 613
70200740;DF;Brasília;Asa Sul;Quadra SGAS 614
70200750;DF;Brasília;Asa Sul;Quadra SGAS 615
70200760;DF;Brasília;Asa Sul;Quadra SGAS 616
70210000;DF;Brasília;Vila da Telebrasília;Vila da Telebrasília
70210010;DF;Brasília;Vila da Telebrasília;Rua 1
