CEP;UF;CIDADE;BAIRRO;LOGRADOURO
29010001;ES;Vitória;Centro;Avenida Jerônimo Monteiro
29010002;ES;Vitória;Centro;Avenida Jerônimo Monteiro
29010003;ES;Vitória;Centro;Avenida Jerônimo Monteiro
29010004;ES;Vitória;Centro;Avenida Jerônimo Monteiro
29010010;ES;Vitória;Centro;Rua Senador Milton Campos
29010015;ES;Vitória;Centro;Rua dos Ex-Combatentes do Brasil
29010020;ES;Vitória;Centro;Praça Presidente Roosevelt
29010025;ES;Vitória;Centro;Rampa Tenente Luiz Queiroz do Nascimento
29010030;ES;Vitória;Centro;Rua General Osório
29010035;ES;Vitória;Centro;Rua General Osório
29010050;ES;Vitória;Centro;Rua Araribóia
29010060;ES;Vitória;Centro;Rua Barão de Itapemirim
29010070;ES;Vitória;Centro;Rua Cerqueira Lima
29010080;ES;Vitória;Centro;Praça Costa Pereira
29010090;ES;Vitória;Centro;Rua da Alfândega
29010100;ES;Vitória;Centro;Rua Dionísio Rosendo
29010110;ES;Vitória;Centro;Rua Doutor José Benjamim Costa
29010120;ES;Vitória;Centro;Rua Duque de Caxias
29010130;ES;Vitória;Centro;Rua Gonçalves Dias
29010140;ES;Vitória;Centro;Rua Gonçalves Ledo
29010150;ES;Vitória;Centro;Avenida Governador Bley
29010155;ES;Vitória;Centro;Praça Francisco Teixeira da Cruz
29010160;ES;Vitória;Centro;Rua João Aguirre
29010165;ES;Vitória;Centro;Travessa João Aguirre
29010170;ES;Vitória;Centro;Rua Luís Antônio
29010180;ES;Vitória;Centro;Rua Marcellino Duarte
29010190;ES;Vitória;Centro;Rua Pietrângelo de Biase
29010200;ES;Vitória;Centro;Travessa Plácido Duarte Barcellos
29010210;ES;Vitória;Centro;Rua Quintino Bocaiúva
29010220;ES;Vitória;Centro;Rua Senador Atílio Vivácqua
29010230;ES;Vitória;Centro;Rua Desembargador O' Reilly
29010240;ES;Vitória;Centro;Avenida Presidente Florentino Avidos
29010250;ES;Vitória;Centro;Rua Alberto de Oliveira Santos
29010260;ES;Vitória;Centro;Rua Araújo Primo
29010270;ES;Vitória;Centro;Rua Aristeu Aguiar
29010280;ES;Vitória;Centro;Rua Coronel Vicente Peixoto
29010290;ES;Vitória;Centro;Rua Deputado Nelson Monteiro
29010300;ES;Vitória;Centro;Rua Doutor Aristides Campos
29010310;ES;Vitória;Centro;Rua Engenheiro Pinto Pacca
29010320;ES;Vitória;Centro;Rua Josué Prado
29010330;ES;Vitória;Centro;Avenida Marechal Mascarenhas de Moraes
29010340;ES;Vitória;Centro;Praça Pio XII
29010350;ES;Vitória;Centro;Praça Presidente Getúlio Vargas
29010360;ES;Vitória;Centro;Avenida Princesa Isabel
29010361;ES;Vitória;Centro;Avenida Princesa Isabel
29010364;ES;Vitória;Centro;Avenida Princesa Isabel
29010365;ES;Vitória;Centro;Avenida Princesa Isabel
29010370;ES;Vitória;Centro;Escadaria Cristóvão Colombo
29010380;ES;Vitória;Centro;Avenida Jurema Barroso
29010390;ES;Vitória;Centro;Rua Barão de Monjardim
29010410;ES;Vitória;Centro;Avenida Elias Miguel
29010420;ES;Vitória;Centro;Avenida Presidente Getúlio Vargas
29010425;ES;Vitória;Centro;Avenida Presidente Getúlio Vargas
29010430;ES;Vitória;Centro;Rua São José
29010440;ES;Vitória;Centro;Rampa José Rufino de Oliveira
29010450;ES;Vitória;Centro;Rua Alda Maria Lyra Vicentini
29010455;ES;Vitória;Centro;Escadaria Nilza Abreu de Souza
29010460;ES;Vitória;Centro;Rua Dionísio Rosendo I
29010470;ES;Vitória;Centro;Rua Imaculada Conceição
29010480;ES;Vitória;Centro;Rua Governador José Sette
29010490;ES;Vitória;Centro;Rua Henrique Novaes
29010500;ES;Vitória;Centro;Rua Nestor Lima
29010510;ES;Vitória;Centro;Rua Soldado Apolinário dos Reis
29010520;ES;Vitória;Centro;Praça Manoel Silvino Monjardim
29010530;ES;Vitória;Centro;Escadaria Marcílio Dias
29010540;ES;Vitória;Centro;Escadaria Victor Dias Loureiro
29010570;ES;Vitória;Centro;Rua Thiers Velloso
29010580;ES;Vitória;Centro;Escadaria Doutor Luiz Castelar da Silva
29010590;ES;Vitória;Centro;Escadaria do Palácio
29010600;ES;Vitória;Centro;Praça Oito de Setembro
29010610;ES;Vitória;Centro;Praça Pedro Caetano
29010620;ES;Vitória;Centro;Escadaria da Misericórdia
29010630;ES;Vitória;Centro;Escadaria Vitor Ferreira
29010640;ES;Vitória;Centro;Praça Américo Poli Monjardim
29010660;ES;Vitória;Centro;Beco João Dutra
29010670;ES;Vitória;Centro;Praça Hilderico Araújo
29010680;ES;Vitória;Centro;Rua Cais de São Francisco
29010690;ES;Vitória;Centro;Praça do Chafariz
29010700;ES;Vitória;Centro;Avenida República
29015000;ES;Vitória;Centro;Rua Sete de Setembro
29015005;ES;Vitória;Centro;Praça 7 de Setembro
29015010;ES;Vitória;Centro;Escadaria Bárbara Monteiro Lindenberg
29015020;ES;Vitória;Centro;Rua Caramuru
29015030;ES;Vitória;Centro;Praça Dom Luiz Scortegagna
29015040;ES;Vitória;Centro;Avenida Cleto Nunes
29015045;ES;Vitória;Centro;Escadaria Doutor Carlos Messina
29015050;ES;Vitória;Centro;Rua Cosme Rolin
29015060;ES;Vitória;Centro;Rua Comandante Duarte Carneiro
29015070;ES;Vitória;Centro;Rua Doutor Azambuja
29015080;ES;Vitória;Centro;Rua Erothildes Resendo
29015090;ES;Vitória;Centro;Rua Francisco Araújo
