CEP;UF;CIDADE;BAIRRO;LOGRADOURO
72800010;GO;Luziânia;Centro;Rua do Comércio
72800020;GO;Luziânia;Centro;Avenida José Vieira Primo
72800025;GO;Luziânia;Centro;Travessa Deputado Jesus Meireles
72800030;GO;Luziânia;Centro;Praça Expedicionário José Francisco de Souza
72800040;GO;Luziânia;Centro;Travessa Nirson Carneiro
72800050;GO;Luziânia;Centro;Travessa Amador Braz de Queiróz
72800060;GO;Luziânia;Centro;Praça Nirson Carneiro Lobo
72800070;GO;Luziânia;Centro;Rua Ofirbraz
72800080;GO;Luziânia;Centro;Rua João Braz
72800090;GO;Luziânia;Centro;Praça Germires Reis
72800100;GO;Luziânia;Centro;Rua Aloísio Gonçalves
72800110;GO;Luziânia;Centro;Rua JK
72800120;GO;Luziânia;Centro;Rua João Paulo
72800130;GO;Luziânia;Centro;Rua Manoel Carvalho Resende
72800140;GO;Luziânia;Centro;Travessa Milton Meireles
72800150;GO;Luziânia;Centro;Rua Ophir José Braz
72800160;GO;Luziânia;Centro;Rua José Eugênio
72800170;GO;Luziânia;Centro;Rua Villi Curado
72800175;GO;Luziânia;Centro;Praça Desembargador Milton Sebastião Barbosa
72800180;GO;Luziânia;Centro;Rua Aloísio
72800190;GO;Luziânia;Centro;Rua Joaquim Mendonça Roriz
72800195;GO;Luziânia;Centro;Travessa Joaquim Mendonça Roriz
72800200;GO;Luziânia;Centro;Rua Coronel Antônio Carneiro
72800220;GO;Luziânia;Centro;Rua José de Melo
72800223;GO;Luziânia;Centro;Travessa Geremias Roriz
72800225;GO;Luziânia;Centro;Travessa Dionísio Meireles
72800230;GO;Luziânia;Centro;Travessa Epaminondas Roriz
72800240;GO;Luziânia;Centro;Travessa T Gomes
72800250;GO;Luziânia;Centro;Travessa Manoel Bráz
72800260;GO;Luziânia;Centro;Travessa José de Melo
72800270;GO;Luziânia;Centro;Praça Raimundo Alves de Melo
72800275;GO;Luziânia;Centro;Avenida Juventino Rodrigues
72800277;GO;Luziânia;Centro;Rua Gutemberg Roriz
72800280;GO;Luziânia;Centro;Rua do Santíssimo Sacramento
72800283;GO;Luziânia;Centro;Praça da Matriz
72800285;GO;Luziânia;Centro;Rua Joaquim Alves Meireles
72800290;GO;Luziânia;Centro;Rua Sebastião Elias dos Reis
72800295;GO;Luziânia;Centro;Avenida Osvaldo Morais
72800300;GO;Luziânia;Centro;Rua Zig Zag
72800310;GO;Luziânia;Centro;Travessa Balbino Vasquez
72800320;GO;Luziânia;Centro;Travessa dos Mineiros
72800330;GO;Luziânia;Centro;Avenida Central
72800340;GO;Luziânia;Centro;Rua Josué Meireles
72800360;GO;Luziânia;Centro;Rua Nestor Ribeiro
72800370;GO;Luziânia;Centro;Travessa Santa Maria
72800380;GO;Luziânia;Centro;Rua Benjamin Roriz
