CEP;UF;CIDADE;BAIRRO;LOGRADOURO
65010000;MA;São Luís;Centro;Rua Vinte e Oito de Setembro
65010010;MA;São Luís;Centro;Rua do Rancho
65010020;MA;São Luís;Centro;Rua dos Afogados
65010030;MA;São Luís;Centro;Rua Afonso Pena
65010040;MA;São Luís;Centro;Rua do Alecrim
65010050;MA;São Luís;Centro;Praça Antônio Lobo
65010060;MA;São Luís;Centro;Beco das Barrocas
65010070;MA;São Luís;Centro;Avenida Beira-Mar
65010080;MA;São Luís;Centro;Praça Benedito Leite
65010090;MA;São Luís;Centro;Travessa Boa Ventura
65010100;MA;São Luís;Centro;Rua Couto Fernandes
65010110;MA;São Luís;Centro;Beco do Couto
65010120;MA;São Luís;Centro;Rua da Cruz
65010130;MA;São Luís;Centro;Rua do Deserto
65010160;MA;São Luís;Centro;Rua Direita
65010170;MA;São Luís;Centro;Rua Djalma Dutra
65010190;MA;São Luís;Centro;Rua do Egito
65010200;MA;São Luís;Centro;Rua da Estrela
65010210;MA;São Luís;Centro;Travessa Feliz
65010220;MA;São Luís;Centro;Conjunto dos Ferroviários
65010230;MA;São Luís;Centro;Rua das Flores
65010240;MA;São Luís;Centro;Praça Fran Pacheco
65010250;MA;São Luís;Centro;Praça Gomes de Sousa
65010260;MA;São Luís;Centro;Rua Graça Aranha
65010270;MA;São Luís;Centro;Rua Humberto de Campos
65010280;MA;São Luís;Centro;Rua Jacinto Maia
65010290;MA;São Luís;Centro;Travessa Jaú
65010300;MA;São Luís;Centro;Rua João Gualberto
65010310;MA;São Luís;Centro;Praça João Lisboa
65010320;MA;São Luís;Centro;Rua João Vital
65010330;MA;São Luís;Centro;Travessa da Lapa
65010340;MA;São Luís;Centro;Rua Luzia Bruce
65010350;MA;São Luís;Centro;Rua do Machado
65010360;MA;São Luís;Centro;Rua das Mangueiras
65010370;MA;São Luís;Centro;Rua Maranhão Sobrinho
65010380;MA;São Luís;Centro;Travessa Marcelino de Almeida
65010382;MA;São Luís;Centro;Praça Reviver
65010390;MA;São Luís;Centro;Vila Margarida
65010400;MA;São Luís;Centro;Rua Montanha Russa
65010410;MA;São Luís;Centro;Rua de Nazaré
65010420;MA;São Luís;Centro;Rua Oscar Galvão
65010430;MA;São Luís;Centro;Beco do Seminário
65010440;MA;São Luís;Centro;Rua da Palma
65010450;MA;São Luís;Centro;Avenida Pedro II
65010460;MA;São Luís;Centro;Rua do Pespontão
65010470;MA;São Luís;Centro;Travessa do Portinho
65010480;MA;São Luís;Centro;Rua Portugal
65010490;MA;São Luís;Centro;Feira da Praia Grande
65010500;MA;São Luís;Centro;Beco da Prensa
65010510;MA;São Luís;Centro;Rua Quatorze de Julho
65010520;MA;São Luís;Centro;Parque Quinze de Novembro
65010530;MA;São Luís;Centro;Rampa do Comércio
65010540;MA;São Luís;Centro;Fonte do Ribeirão
65010560;MA;São Luís;Centro;Rua do Ribeirão
65010570;MA;São Luís;Centro;Rua Rio de Janeiro
65010580;MA;São Luís;Centro;Rua de Santaninha
65010590;MA;São Luís;Centro;Rua Santo Antônio
65010600;MA;São Luís;Centro;Rua São João
65010610;MA;São Luís;Centro;Praça São João
65010620;MA;São Luís;Centro;Rua da Saúde
65010630;MA;São Luís;Centro;Rua da Saavedra
65010640;MA;São Luís;Centro;Beco da Sé
65010655;MA;São Luís;Centro;Avenida Senador Vitorino Freire
65010660;MA;São Luís;Centro;Beco do Silva
65010670;MA;São Luís;Centro;Travessa da Trindade
65010680;MA;São Luís;Centro;Rua Vinte e Oito de Julho
65010690;MA;São Luís;Centro;Rua Isaac Martins
65010710;MA;São Luís;Centro;Rua Pereira Rego
65010730;MA;São Luís;Centro;Praça Manoel Beckman
65010740;MA;São Luís;Centro;Rua Izaque Pedro
65010750;MA;São Luís;Centro;Rua Neto Guterres
65010760;MA;São Luís;Centro;Rua Newton Prado
65010790;MA;São Luís;Centro;Beco do Desterro
65010800;MA;São Luís;Centro;Rua dos Catraeiros
65010810;MA;São Luís;Centro;Beco do Precipício
65010820;MA;São Luís;Centro;Ladeira do Comércio
65010840;MA;São Luís;Centro;Praça do Pescador
65011000;MA;São Luís;Centro;Travessa do Rancho
65015000;MA;São Luís;Vila Bessa;Travessa da Vila Bessa
65015010;MA;São Luís;Centro;Travessa do Gasômetro
65015020;MA;São Luís;Centro;Praça da Alegria
65015030;MA;São Luís;Vila Bessa;Rua Alencar Campos
65015040;MA;São Luís;Centro;Rua Antônio Rayol
65015050;MA;São Luís;Vila Bessa;Rua Armando Correa Lima
65015060;MA;São Luís;Centro;Beco dos Burgos
65015070;MA;São Luís;Vila Bessa;Rua Belo Horizonte
65015080;MA;São Luís;Centro;Rua das Cajazeiras
65015085;MA;São Luís;Centro;Praça Miguel Vieira
65015086;MA;São Luís;Centro;Rua Ivar Saldanha
65015088;MA;São Luís;Centro;Travessa Ivar Saldanha
65015090;MA;São Luís;Centro;Rua das Crioulas
65015100;MA;São Luís;Belira;Rua Eduardo Aboud
65015110;MA;São Luís;Centro;Beco das Minas
65015120;MA;São Luís;Centro;Rua Coronel Frederico Filgueiras
65015130;MA;São Luís;Centro;Rua Domingos Barbosa
65015140;MA;São Luís;Centro;Beco Escuro
65015160;MA;São Luís;Centro;Rua Godofredo Viana
65015170;MA;São Luís;Centro;Vila Gracinha
65015180;MA;São Luís;Centro;Rua da Inveja
65015190;MA;São Luís;Belira;Rua Ipiranga
65015210;MA;São Luís;Centro;Rua João Henrique
65015230;MA;São Luís;Centro;Rua Leôncio Rodrigues
65015250;MA;São Luís;Centro;Avenida Magalhães de Almeida
65015260;MA;São Luís;Centro;Rua da Manga
65015270;MA;São Luís;Codozinho;Rua Medeiros de Albuquerque
65015280;MA;São Luís;Centro;Praça do Mercado Central
65015290;MA;São Luís;Centro;Praça do Mercado Velho
65015300;MA;São Luís;Centro;Praça da Misericórdia
65015310;MA;São Luís;Centro;Rua do Mocambo
65015330;MA;São Luís;Centro;Rua do Norte
65015340;MA;São Luís;Vila Bessa;Rua Nova
65015350;MA;São Luís;Centro;Rua da Palha
65015360;MA;São Luís;Centro;Travessa do Passeio
65015370;MA;São Luís;Centro;Rua do Passeio
65015380;MA;São Luís;Vila Bessa;1ª Travessa Paulo Kruger de Oliveira
65015381;MA;São Luís;Vila Bessa;2ª Travessa Paulo Kruger de Oliveira
65015385;MA;São Luís;Vila Bessa;Rua Jandira
65015390;MA;São Luís;Vila Bessa;Rua Paulo Kruger de Oliveira
65015400;MA;São Luís;Centro;Fonte das Pedras
65015410;MA;São Luís;Centro;Avenida Ribamar Pinheiro
65015420;MA;São Luís;Centro;Vila Ruth
65015430;MA;São Luís;Centro;Rua Santa Rita
65015440;MA;São Luís;Centro;Rua de Santana
65015450;MA;São Luís;Centro;Rua de Santiago
65015460;MA;São Luís;Centro;Rua São Pantaleão
65015463;MA;São Luís;Centro;Travessa Basílio de Sá
65015465;MA;São Luís;Centro;Rua Fonte do Bispo
65015470;MA;São Luís;Centro;Praça da Saudade
65015480;MA;São Luís;Vila Bessa;Rua Sotero dos Reis
65015490;MA;São Luís;Belira;Travessa Tiradentes
65015510;MA;São Luís;Centro;Travessa da Amizade
65015530;MA;São Luís;Centro;Conjunto ABC
65015550;MA;São Luís;Centro;Rua da Misericórdia
65015560;MA;São Luís;Centro;Avenida Guaxenduba
65015580;MA;São Luís;Centro;Travessa Monteiro
65015590;MA;São Luís;Centro;Vila Isabel
65015610;MA;São Luís;Madre Deus;Rua Demerval Rosa
65015615;MA;São Luís;Madre Deus;Rua São Pantaleão
65015660;MA;São Luís;Madre Deus;Travessa do Pau D'Arco
65015680;MA;São Luís;Vila Bessa;Rua Tito Soares
65020010;MA;São Luís;Centro;Rua da Alegria
65020040;MA;São Luís;Camboa;Conjunto dos Bancários
65020045;MA;São Luís;Camboa;Avenida Senador Vitorino Freire
65020050;MA;São Luís;Camboa;Vila Bangu
65020053;MA;São Luís;Camboa;Rua Jardim Boa Esperança
65020055;MA;São Luís;Camboa;Rua dos Veleiros
65020060;MA;São Luís;Camboa;Travessa Barão de Itapary
65020070;MA;São Luís;Centro;Rua Barão de Itapary
65020080;MA;São Luís;Boa Vista;Rua da Boa Vista
65020090;MA;São Luís;Boa Vista;Travessa Bom Jesus
65020100;MA;São Luís;Boa Vista;Rua Bom Jesus
65020110;MA;São Luís;Camboa;Travessa Carvalho Branco
65020120;MA;São Luís;Centro;Rua da Viração
65020130;MA;São Luís;Centro;Rua Celso Magalhães
65020140;MA;São Luís;Centro;Rua Coelho Neto
65020150;MA;São Luís;Centro;Rua do Coqueiro
65020160;MA;São Luís;Centro;Rua dos Craveiros
65020170;MA;São Luís;Diamante;Rua Cristóvão Colombo
65020180;MA;São Luís;Centro;Praça Deodoro
65020190;MA;São Luís;Fabril;Rua Dezoito de Novembro
65020200;MA;São Luís;Fabril;1ª Travessa Dezoito de Novembro
65020201;MA;São Luís;Fabril;2ª Travessa Dezoito de Novembro
65020202;MA;São Luís;Fabril;3ª Travessa Dezoito de Novembro
65020210;MA;São Luís;Diamante;Travessa Dirceu
65020230;MA;São Luís;Centro;Avenida Gomes de Castro
65020240;MA;São Luís;Centro;Praça Gonçalves Dias
65020250;MA;São Luís;Centro;Rua Oswaldo Cruz
65020251;MA;São Luís;Centro;Rua Oswaldo Cruz
65020260;MA;São Luís;Camboa;Avenida Camboa
65020270;MA;São Luís;Centro;Rua das Hortas
65020280;MA;São Luís;Centro;Vila Iná Rego
65020290;MA;São Luís;Centro;Rua Jansen Müller
65020300;MA;São Luís;Fabril;Avenida Getúlio Vargas
65020310;MA;São Luís;Centro;Rua do Jenipapeiro
65020320;MA;São Luís;Diamante;Rua João Luís
65020330;MA;São Luís;Diamante;Travessa João Luís
65020331;MA;São Luís;Diamante;2ª Travessa João Luís
65020332;MA;São Luís;Diamante;1ª Travessa dos Afogados
65020333;MA;São Luís;Diamante;Rua dos Afogados
65020334;MA;São Luís;Diamante;2ª Travessa dos Afogados
65020335;MA;São Luís;Diamante;Rua Sítio do Meio
65020336;MA;São Luís;Diamante;1ª Travessa Sítio do Meio
65020337;MA;São Luís;Diamante;2ª Travessa Sítio do Meio
65020340;MA;São Luís;Centro;Rua Custódio Serrão
65020350;MA;São Luís;Camboa;Rua do Marajá
65020360;MA;São Luís;Diamante;Rua Mem de Sá
65020380;MA;São Luís;Diamante;Travessa Nova
65020390;MA;São Luís;Camboa;Rua Nova
65020391;MA;São Luís;Camboa;1ª Travessa Jardim Esperança
65020392;MA;São Luís;Camboa;2ª Travessa Jardim Esperança
65020393;MA;São Luís;Camboa;3ª Travessa Jardim Esperança
65020394;MA;São Luís;Camboa;4ª Travessa Jardim Esperança
65020400;MA;São Luís;Camboa;1ª Travessa Nova
65020401;MA;São Luís;Camboa;2ª Travessa Nova
65020402;MA;São Luís;Camboa;3ª Travessa Nova
65020410;MA;São Luís;Diamante;Rua Nova
65020420;MA;São Luís;Centro;Praça Odorico Mendes
65020430;MA;São Luís;Centro;Praça do Panteon
65020440;MA;São Luís;Centro;Travessa da Passagem
65020450;MA;São Luís;Centro;Rua da Paz
65020460;MA;São Luís;Centro;Rua dos Prazeres
65020470;MA;São Luís;Diamante;Travessa Preciosa
65020480;MA;São Luís;Diamante;Rua Preciosa
65020490;MA;São Luís;Centro;Rua dos Remédios
65020500;MA;São Luís;Diamante;Praça da República
65020510;MA;São Luís;Diamante;Travessa da República
65020520;MA;São Luís;Diamante;Vila Riod
65020530;MA;São Luís;Centro;Praça Santaninha
65020540;MA;São Luís;Camboa;Travessa Santo Inácio de Loiola
65020550;MA;São Luís;Camboa;Rua Santo Inácio de Loiola
65020560;MA;São Luís;Centro;Travessa Silva Jardim
65020570;MA;São Luís;Centro;Avenida Silva Maia
65020590;MA;São Luís;Centro;Rua do Sol
65020600;MA;São Luís;Centro;Avenida Tamandaré
65020605;MA;São Luís;Centro;Rua do Navio
65020610;MA;São Luís;Centro;Parque Urbano Santos
65020620;MA;São Luís;Centro;Rua Valdemar de Brito
65020630;MA;São Luís;Diamante;1ª Travessa Venceslau Braz
65020631;MA;São Luís;Diamante;2ª Travessa Venceslau Braz
65020632;MA;São Luís;Diamante;3ª Travessa Venceslau Braz
65020640;MA;São Luís;Diamante;Avenida Venceslau Braz
65020650;MA;São Luís;Diamante;Rua Vespasiano Ramos
65020660;MA;São Luís;Centro;Rua Viana Vaz
65020670;MA;São Luís;Camboa;Rua Vinte e Três de Novembro
65020700;MA;São Luís;Centro;Alameda do Ourique
65020710;MA;São Luís;Centro;Travessa do Galpão
65020720;MA;São Luís;Centro;Avenida José Sarney
65020730;MA;São Luís;Diamante;Travessa da Concórdia
65020750;MA;São Luís;Camboa;Travessa Aura
65020770;MA;São Luís;Diamante;Rua José dos Santos
65020780;MA;São Luís;Boa Vista;2ª Travessa Bom Jesus
65020790;MA;São Luís;Diamante;Rua Cristóvão Colombo
65020800;MA;São Luís;Centro;Travessa dos Afogados
65020820;MA;São Luís;Boa Vista;Rua Elite
65020830;MA;São Luís;Diamante;Travessa da Amendoeira
65020840;MA;São Luís;Boa Vista;1ª Travessa Bom Jesus
65021000;MA;São Luís;Centro;Rua Silva Jardim
65021020;MA;São Luís;Camboa;Vila Goreth
65021200;MA;São Luís;Diamante;Rua da Concórdia
65021210;MA;São Luís;Centro;Travessa Paulo VI
65021230;MA;São Luís;Diamante;Travessa Santa Maria
65025000;MA;São Luís;Fabril;Avenida Getúlio Vargas
65025001;MA;São Luís;Centro;Avenida Kennedy
65025002;MA;São Luís;Coréia;Avenida Kennedy
65025003;MA;São Luís;Coréia;Avenida Kennedy
65025010;MA;São Luís;Madre Deus;Rua Afonso Celso
65025015;MA;São Luís;Madre Deus;Avenida Senador Vitorino Freire
65025020;MA;São Luís;Madre Deus;Rua Afrânio Peixoto
65025030;MA;São Luís;Goiabal;Rua Fortaleza
65025040;MA;São Luís;Coréia;Travessa Alegre
65025050;MA;São Luís;Coréia;Rua Alegre
65025060;MA;São Luís;Fabril;Rua da Amendoeira
65025070;MA;São Luís;Apicum;Rua do Apicum
65025080;MA;São Luís;Lira;Rua Araripe Júnior
65025090;MA;São Luís;Fabril;Vila dos Barcelos
65025100;MA;São Luís;Coréia;Rua Basílio de Magalhães
65025115;MA;São Luís;Belira;Avenida Senador Vitorino Freire
65025120;MA;São Luís;Belira;Travessa Belira
65025130;MA;São Luís;Belira;Rua da Belira
65025140;MA;São Luís;Madre Deus;Beco do Bessa
65025150;MA;São Luís;Coréia;Praça da Bíblia
65025160;MA;São Luís;Goiabal;Travessa Bom Jesus
65025165;MA;São Luís;Goiabal;Beco da Felicidade
65025170;MA;São Luís;Goiabal;Rua Bom Jesus
65025180;MA;São Luís;Centro;Parque do Bom Menino
65025190;MA;São Luís;Codozinho;Rua Branca
65025200;MA;São Luís;Centro;Rua Caminho da Boiada
65025210;MA;São Luís;Vila Passos;Rua Carlos Gomes
65025211;MA;São Luís;Vila Passos;Rua Doutor Felisberto Carvalho
65025220;MA;São Luís;Vila Passos;Rua Casemiro de Abreu
65025225;MA;São Luís;Vila Passos;Avenida Senador Vitorino Freire
65025230;MA;São Luís;Vila Passos;Rua Castro Alves
65025240;MA;São Luís;Vila Passos;Praça Catulo da Paixão Cearense
65025250;MA;São Luís;Vila Passos;Rua General Osório
65025260;MA;São Luís;Coréia;Rua Emílio Lisboa
65025270;MA;São Luís;Codozinho;Rua Creme
65025280;MA;São Luís;Coréia;Rua Darcy Vargas
65025290;MA;São Luís;Apicum;Travessa Dom Bosco
65025292;MA;São Luís;Apicum;Rua da Amendoeira
65025300;MA;São Luís;Apicum;Rua Dom Luís de Brito
65025310;MA;São Luís;Coréia;Rua Domício da Gama
65025320;MA;São Luís;Apicum;Rua Domingos Perdigão
65025330;MA;São Luís;Coréia;Travessa Manaus
65025350;MA;São Luís;Madre Deus;Travessa Felicidade
65025360;MA;São Luís;Vila Passos;Rua da Felicidade
65025370;MA;São Luís;Vila Passos;Travessa da Felicidade
65025380;MA;São Luís;Vila Passos;Rua Felipe Camarão
65025390;MA;São Luís;Lira;Rua Félix Pacheco
65025400;MA;São Luís;Lira;Travessa Félix Pacheco
65025410;MA;São Luís;Madre Deus;Beco Feliz
65025420;MA;São Luís;Apicum;Rua Frei Querubim
65025430;MA;São Luís;Lira;Rua Frei Sampaio
65025431;MA;São Luís;Lira;Travessa Frei Sampaio
65025433;MA;São Luís;Lira;3ª Travessa Frei Sampaio
65025440;MA;São Luís;Madre Deus;Beco do Gavião
65025450;MA;São Luís;Codozinho;Rua Guimarães Passos
65025460;MA;São Luís;Apicum;Rua da Ingazeira
65025470;MA;São Luís;Centro;Avenida Alexandre de Moura
65025480;MA;São Luís;Macaúba;Rua João Evangelista
65025490;MA;São Luís;Macaúba;Travessa João Evangelista
65025500;MA;São Luís;Apicum;Rua João Ramalho
65025510;MA;São Luís;Apicum;Rua João XXIII
65025520;MA;São Luís;Lira;Rua Joaquim Nabuco
65025530;MA;São Luís;Vila Passos;Rua José de Alencar
65025540;MA;São Luís;Coréia;Rua José Veríssimo
65025550;MA;São Luís;Goiabal;Rua Macapá
65025560;MA;São Luís;Madre Deus;Praça Madre de Deus
