CEP;UF;CIDADE;BAIRRO;LOGRADOURO
79002000;MS;Campo Grande;Centro;Avenida Calógeras
79002001;MS;Campo Grande;Centro;Avenida Calógeras
79002002;MS;Campo Grande;Centro;Avenida Calógeras
79002003;MS;Campo Grande;Centro;Avenida Calógeras
79002004;MS;Campo Grande;Centro;Avenida Calógeras
79002005;MS;Campo Grande;Centro;Avenida Calógeras
79002006;MS;Campo Grande;Centro;Rua Doutor Temístocles
79002010;MS;Campo Grande;Centro;Avenida Noroeste
79002011;MS;Campo Grande;Centro;Avenida Noroeste
79002020;MS;Campo Grande;Centro;Praça Bernardino Silva
79002021;MS;Campo Grande;Centro;Praça dos Imigrantes
79002022;MS;Campo Grande;Centro;Rua Aquidauana
79002023;MS;Campo Grande;Centro;Travessa Lázaro Gonçalves Martins
79002030;MS;Campo Grande;Centro;Avenida João Rosa Pires
79002031;MS;Campo Grande;Centro;Rua Anhandui
79002040;MS;Campo Grande;Centro;Praça Comendador Oshiro Takemori
79002041;MS;Campo Grande;Centro;Travessa José Bacha
79002042;MS;Campo Grande;Centro;Praça Vespasiano Barbosa Martins
79002050;MS;Campo Grande;Centro;Rua Aikel Mansour
79002051;MS;Campo Grande;Centro;Travessa Ênio
79002052;MS;Campo Grande;Centro;Rua Francisco Cândido Xavier
79002060;MS;Campo Grande;Centro;Rua Joel Dibo
79002061;MS;Campo Grande;Centro;Rua Vinte e Cinco de Dezembro
79002070;MS;Campo Grande;Centro;Avenida Afonso Pena
79002071;MS;Campo Grande;Centro;Avenida Afonso Pena
79002072;MS;Campo Grande;Centro;Avenida Afonso Pena
79002073;MS;Campo Grande;Centro;Avenida Afonso Pena
79002074;MS;Campo Grande;Centro;Avenida Afonso Pena
79002075;MS;Campo Grande;Centro;Avenida Afonso Pena
79002076;MS;Campo Grande;Centro;Rua Joaquim Távora
79002077;MS;Campo Grande;Centro;Praça Ari Coelho de Oliveira
79002078;MS;Campo Grande;Centro;Travessa Pimentel
79002080;MS;Campo Grande;Centro;Rua Barão de Melgaço
79002081;MS;Campo Grande;Centro;Rua Vinte e Seis de Agosto
79002090;MS;Campo Grande;Centro;Rua Barão de Melgaço
79002100;MS;Campo Grande;Centro;Rua Joaquim Murtinho
79002110;MS;Campo Grande;Centro;Travessa Alecrim
79002120;MS;Campo Grande;Centro;Rua Lydia Bais
79002121;MS;Campo Grande;Centro;Rua Sete de Setembro
79002130;MS;Campo Grande;Centro;Rua Sete de Setembro
79002140;MS;Campo Grande;Centro;Rua Quinze de Novembro
79002141;MS;Campo Grande;Centro;Rua Quinze de Novembro
79002150;MS;Campo Grande;Centro;Rua Boa Vista
79002160;MS;Campo Grande;Centro;Rua Alberto Neder
79002165;MS;Campo Grande;Centro;Avenida Ricardo Brandão
79002170;MS;Campo Grande;Centro;Rua Barão do Rio Branco
79002171;MS;Campo Grande;Centro;Rua Barão do Rio Branco
79002172;MS;Campo Grande;Centro;Rua Barão do Rio Branco
79002173;MS;Campo Grande;Centro;Rua Barão do Rio Branco
79002174;MS;Campo Grande;Centro;Rua Barão do Rio Branco
79002175;MS;Campo Grande;Centro;Rua Barão do Rio Branco
79002180;MS;Campo Grande;Centro;Rua Dom Aquino
79002181;MS;Campo Grande;Centro;Rua Dom Aquino
79002182;MS;Campo Grande;Centro;Rua Dom Aquino
79002183;MS;Campo Grande;Centro;Rua Dom Aquino
79002184;MS;Campo Grande;Centro;Rua Dom Aquino
79002185;MS;Campo Grande;Centro;Rua Dom Aquino
79002190;MS;Campo Grande;Centro;Rua da Paz
79002200;MS;Campo Grande;Centro;Rua Marechal Rondon
79002201;MS;Campo Grande;Centro;Rua Marechal Rondon
79002204;MS;Campo Grande;Centro;Rua Marechal Rondon
79002205;MS;Campo Grande;Centro;Rua Marechal Rondon
79002210;MS;Campo Grande;Centro;Rua Maracaju
79002211;MS;Campo Grande;Centro;Rua Maracaju
79002212;MS;Campo Grande;Centro;Rua Maracaju
79002214;MS;Campo Grande;Centro;Rua Maracaju
79002220;MS;Campo Grande;Centro;Rua Antônio Maria Coelho
79002221;MS;Campo Grande;Centro;Rua Antônio Maria Coelho
79002230;MS;Campo Grande;Centro;Avenida Mato Grosso
79002231;MS;Campo Grande;Centro;Avenida Mato Grosso
79002232;MS;Campo Grande;Centro;Avenida Mato Grosso
79002233;MS;Campo Grande;Centro;Avenida Mato Grosso
79002234;MS;Campo Grande;Centro;Travessa General Wolgrand
79002240;MS;Campo Grande;Centro;Rua Doutor Ferreira
79002241;MS;Campo Grande;Centro;Rua General Mello
79002250;MS;Campo Grande;Centro;Travessa Ossian Virgílio de Senna
79002251;MS;Campo Grande;Centro;Rua Eduardo Santos Pereira
79002260;MS;Campo Grande;Centro;Rua Elias Nasser
79002261;MS;Campo Grande;Centro;Rua Pernambuco
79002270;MS;Campo Grande;Monte Castelo;Rua São Paulo
79002280;MS;Campo Grande;Monte Castelo;Rua Amazonas
79002290;MS;Campo Grande;Monte Castelo;Rua da Imprensa
79002291;MS;Campo Grande;São Francisco;Travessa Coronel Mário Pinto Peixoto
79002300;MS;Campo Grande;Monte Castelo;Rua João Pessoa
79002310;MS;Campo Grande;Monte Castelo;Rua Dom Vicente Maria Priante
79002311;MS;Campo Grande;Monte Castelo;Rua Júlio Barone
79002320;MS;Campo Grande;Centro;Rua Júlio Dittimar
79002321;MS;Campo Grande;Centro;Rua Doutor Dolor Ferreira de Andrade
79002330;MS;Campo Grande;Centro;Rua Quatorze de Julho
79002331;MS;Campo Grande;Centro;Rua Quatorze de Julho
79002332;MS;Campo Grande;Centro;Rua Quatorze de Julho
79002333;MS;Campo Grande;Centro;Rua Quatorze de Julho
79002334;MS;Campo Grande;Centro;Rua Quatorze de Julho
79002335;MS;Campo Grande;Centro;Rua Quatorze de Julho
79002336;MS;Campo Grande;Centro;Rua Quatorze de Julho
79002337;MS;Campo Grande;Centro;Rua Quatorze de Julho
79002338;MS;Campo Grande;Centro;Travessa Bocage
79002339;MS;Campo Grande;Centro;Travessa Coronel Edgarde Gomes
79002340;MS;Campo Grande;São Francisco;Rua Eça de Queiroz
79002341;MS;Campo Grande;Centro;Travessa Camões
79002350;MS;Campo Grande;Centro;Rua Treze de Maio
79002351;MS;Campo Grande;Centro;Rua Treze de Maio
79002352;MS;Campo Grande;Centro;Rua Treze de Maio
79002353;MS;Campo Grande;Monte Castelo;Rua Treze de Maio
79002354;MS;Campo Grande;Centro;Rua Treze de Maio
79002355;MS;Campo Grande;Centro;Rua Treze de Maio
79002356;MS;Campo Grande;Centro;Rua Treze de Maio
79002357;MS;Campo Grande;Centro;Rua Treze de Maio
79002358;MS;Campo Grande;Monte Castelo;Travessa Cristina
79002359;MS;Campo Grande;Centro;Travessa Guia Lopes
79002360;MS;Campo Grande;Centro;Rua Rui Barbosa
79002361;MS;Campo Grande;Centro;Rua Rui Barbosa
79002362;MS;Campo Grande;Centro;Rua Rui Barbosa
79002363;MS;Campo Grande;Centro;Rua Rui Barbosa
79002364;MS;Campo Grande;Centro;Rua Rui Barbosa
79002365;MS;Campo Grande;Centro;Rua Rui Barbosa
79002366;MS;Campo Grande;Centro;Rua Rui Barbosa
79002367;MS;Campo Grande;Centro;Rua Rui Barbosa
79002368;MS;Campo Grande;Centro;Rua Rui Barbosa
79002369;MS;Campo Grande;Centro;Rua Rui Barbosa
79002370;MS;Campo Grande;Centro;Rua Pedro Celestino
79002371;MS;Campo Grande;Centro;Rua Pedro Celestino
79002372;MS;Campo Grande;Centro;Rua Pedro Celestino
79002373;MS;Campo Grande;Centro;Travessa Continental
79002374;MS;Campo Grande;Centro;Travessa Pepe Simioli
79002380;MS;Campo Grande;Centro;Rua Padre João Crippa
79002390;MS;Campo Grande;Centro;Rua Padre João Crippa
79002391;MS;Campo Grande;Centro;Praça da República
