CEP;UF;CIDADE;BAIRRO;LOGRADOURO
78005000;MT;Cuiabá;Centro Norte;Rua Engenheiro Ricardo Franco
78005010;MT;Cuiabá;Centro Norte;Rua Pedro Celestino
78005020;MT;Cuiabá;Centro Norte;Rua Galdino Pimentel
78005030;MT;Cuiabá;Centro Norte;Avenida Mato Grosso
78005040;MT;Cuiabá;Centro Norte;Rua Sete de Setembro
78005050;MT;Cuiabá;Centro Norte;Rua Vinte e Sete de Dezembro
78005060;MT;Cuiabá;Centro Norte;Rua Governador Rondon
78005070;MT;Cuiabá;Centro Norte;Praça Caetano de Albuquerque
78005080;MT;Cuiabá;Centro Norte;Travessa Vinte e Um de Abril
78005090;MT;Cuiabá;Centro Norte;Praça Conde de Azambuja
78005100;MT;Cuiabá;Centro Norte;Avenida Marechal Deodoro
78005110;MT;Cuiabá;Centro Norte;Praça Visconde de Taunay
78005119;MT;Cuiabá;Centro Norte;Travessa Cabo Agostinho
78005120;MT;Cuiabá;Centro Norte;Ladeira Pedro Góes
78005130;MT;Cuiabá;Centro Norte;Travessa Padre Maserati
78005140;MT;Cuiabá;Centro Norte;Travessa Aníbal de Toledo
78005150;MT;Cuiabá;Centro Norte;Rua Candido Mariano
78005160;MT;Cuiabá;Centro Norte;Praça Antônio Correa
78005170;MT;Cuiabá;Centro Norte;Rua Campo Grande
78005180;MT;Cuiabá;Centro Norte;Rua Voluntários da Pátria
78005190;MT;Cuiabá;Centro Norte;Rua Batista das Neves
78005200;MT;Cuiabá;Centro Norte;Rua Zulmira Canavarros
78005210;MT;Cuiabá;Centro Norte;Rua Marechal Floriano Peixoto
78005220;MT;Cuiabá;Centro Norte;Rua Lulu Cuiabano
78005230;MT;Cuiabá;Centro Norte;Travessa Comandante Balduino de Carvalho
78005235;MT;Cuiabá;Centro Norte;Rua Cursino do Amarante
78005240;MT;Cuiabá;Centro Norte;Praça da República
78005250;MT;Cuiabá;Centro Norte;Rua Treze de Junho
78005260;MT;Cuiabá;Centro Norte;Praça Ipiranga
78005270;MT;Cuiabá;Centro Norte;Travessa João Celestino
78005280;MT;Cuiabá;Centro Norte;Travessa Avelino de Siqueira
78005290;MT;Cuiabá;Centro Norte;Rua Joaquim Murtinho
78005300;MT;Cuiabá;Centro Norte;Rua Barão de Melgaço
78005310;MT;Cuiabá;Centro Norte;Rua Doze de Outubro
78005320;MT;Cuiabá;Centro Norte;Praça Rachidy Jaudy
78005330;MT;Cuiabá;Centro Norte;Rua Vinte e Quatro de Outubro
78005340;MT;Cuiabá;Centro Norte;Avenida Isaac Póvoas
78005350;MT;Cuiabá;Centro Norte;Travessa João Dias
78005360;MT;Cuiabá;Centro Norte;Praça Alencastro
78005370;MT;Cuiabá;Centro Norte;Avenida Presidente Getúlio Vargas
78005380;MT;Cuiabá;Centro Norte;Rua Monsenhor Trebaure
78005390;MT;Cuiabá;Centro Norte;Rua dos Bandeirantes
78005400;MT;Cuiabá;Centro Norte;Rua Comandante Costa
78005410;MT;Cuiabá;Centro Norte;Rua Antônio João
78005420;MT;Cuiabá;Centro Norte;Rua Antônio Maria Coelho
78005430;MT;Cuiabá;Centro Norte;Rua Generoso Ponce
78005500;MT;Cuiabá;Centro Norte;Avenida Tenente-Coronel Duarte
78005505;MT;Cuiabá;Araés;Avenida Marechal Deodoro
78005510;MT;Cuiabá;Araés;Rua Tenente Eulálio Guerra
78005515;MT;Cuiabá;Araés;Travessa Marechal Deodoro
78005520;MT;Cuiabá;Araés;Travessa Francisco Fortes
78005530;MT;Cuiabá;Araés;Rua Triângulo e Fraternidade
78005540;MT;Cuiabá;Araés;Rua Américo Salgado
