CEP;UF;CIDADE;BAIRRO;LOGRADOURO
66010000;PA;Belém;Campina;Avenida Presidente Vargas
66010010;PA;Belém;Campina;Avenida Assis de Vasconcelos
66010020;PA;Belém;Campina;Boulevard Castilhos França
66010030;PA;Belém;Campina;Praça Dom Macedo Costa
66010040;PA;Belém;Campina;Praça Kennedy
66010050;PA;Belém;Campina;Travessa Frei Gil de Vila Nova
66010051;PA;Belém;Campina;Travessa Frei Gil de Vila Nova
66010060;PA;Belém;Campina;Rua Gaspar Viana
66010070;PA;Belém;Campina;Avenida Marechal Hermes
66010080;PA;Belém;Campina;Travessa Primeiro de Março
66010095;PA;Belém;Campina;Rua Santo Antônio
66010100;PA;Belém;Campina;Rua Vinte e Oito de Setembro
66010105;PA;Belém;Campina;Rua Santo Antônio
66010110;PA;Belém;Campina;Praça Visconde do Rio Branco
66010120;PA;Belém;Campina;Rua da Indústria
66010130;PA;Belém;Campina;Travessa Leão XIII
66010145;PA;Belém;Campina;Rua Senador Manoel Barata
66010146;PA;Belém;Campina;Rua Senador Manoel Barata
66010147;PA;Belém;Campina;Rua Senador Manoel Barata
66010150;PA;Belém;Campina;Travessa Padre Prudêncio
66010160;PA;Belém;Campina;Praça das Mercedes
66013000;PA;Belém;Campina;Rua Conselheiro João Alfredo
66013010;PA;Belém;Campina;Travessa Frutuoso Guimarães
66013020;PA;Belém;Campina;Travessa Campos Sales
66013030;PA;Belém;Campina;Boulevard Castilhos França
66013040;PA;Belém;Campina;Travessa Ocidental do Mercado
66013050;PA;Belém;Campina;Travessa Oriental do Mercado
66013060;PA;Belém;Campina;Rua Quinze de Novembro
66013070;PA;Belém;Campina;Travessa Sete de Setembro
66013080;PA;Belém;Campina;Rua Treze de Maio
66013085;PA;Belém;Campina;Travessa Sete de Setembro
66013090;PA;Belém;Campina;Travessa Padre Eutíquio
66013100;PA;Belém;Campina;Avenida Portugal
66013110;PA;Belém;Campina;Praça do Pescador
66015000;PA;Belém;Campina;Travessa Padre Eutíquio
66015010;PA;Belém;Campina;Vila Anita
66015020;PA;Belém;Campina;Rua Senador Manoel Barata
66015040;PA;Belém;Batista Campos;Rua Arciprestes Manoel Teodoro
66015050;PA;Belém;Campina;Praça da Bandeira
66015051;PA;Belém;Campina;Travessa Primeiro de Março
66015052;PA;Belém;Campina;Travessa Primeiro de Março
66015053;PA;Belém;Campina;Travessa Primeiro de Março
66015055;PA;Belém;Campina;Travessa Frutuoso Guimarães
66015060;PA;Belém;Campina;Praça Barão do Rio Branco
66015070;PA;Belém;Campina;Rua Caetano Rufino
66015080;PA;Belém;Campina;Vila Campos Sales
66015090;PA;Belém;Campina;Travessa Campos Sales
66015100;PA;Belém;Batista Campos;Praça Coaraci Nunes
66015110;PA;Belém;Campina;Vila Fiúza
66015120;PA;Belém;Batista Campos;Vila Francisco Soares
66015130;PA;Belém;Batista Campos;Rua Gama Abreu
66015135;PA;Belém;Batista Campos;Rua Ferreira Cantão
66015140;PA;Belém;Batista Campos;Avenida Gentil Bittencourt
66015150;PA;Belém;Batista Campos;Vila Isaías da Paz
66015165;PA;Belém;Campina;Rua João Diogo
66015170;PA;Belém;Batista Campos;Rua Monsenhor Miguel Inácio
66015175;PA;Belém;Campina;Rua João Diogo
66015180;PA;Belém;Campina;Travessa Padre Prudêncio
66015190;PA;Belém;Campina;Avenida Portugal
66015200;PA;Belém;Batista Campos;Travessa Presidente Pernambuco
66015210;PA;Belém;Campina;Travessa Sete de Setembro
66015220;PA;Belém;Campina;Rua Silva Santos
66015230;PA;Belém;Batista Campos;Largo da Trindade
66015240;PA;Belém;Batista Campos;Vila Valquíria
66015250;PA;Belém;Cidade Velha;Rua Coronel Fontoura
66015255;PA;Belém;Cidade Velha;Avenida Bernardo Sayão
66015260;PA;Belém;Cidade Velha;Praça Felipe Patroni
66015280;PA;Belém;Campina;Rua Ferreira Cantão
66015350;PA;Belém;Campina;Rua Desembargador Ignácio Guilhon
66015360;PA;Belém;Campina;Passagem Saldanha Marinho
66017000;PA;Belém;Campina;Avenida Presidente Vargas
66017010;PA;Belém;Campina;Rua Aristides Lobo
66017020;PA;Belém;Campina;Vila Marisa
66017040;PA;Belém;Campina;Rua General Gurjão
66017050;PA;Belém;Campina;Rua Ó de Almeida
66017060;PA;Belém;Campina;Praça da República
66017070;PA;Belém;Campina;Avenida Assis de Vasconcelos
66017080;PA;Belém;Campina;Rua Carlos Gomes
66017090;PA;Belém;Campina;Rua Osvaldo Cruz
66017100;PA;Belém;Campina;Rua Riachuelo
66017110;PA;Belém;Campina;Rua Ferreira Cantão
66017170;PA;Belém;Campina;Travessa Frutuoso Guimarães
66017180;PA;Belém;Campina;Travessa Campos Sales
66017200;PA;Belém;Campina;Travessa Padre Prudêncio
66017210;PA;Belém;Campina;Avenida da Paz
