CEP;UF;CIDADE;BAIRRO;LOGRADOURO
58010000;PB;João Pessoa;Centro;Rua Beaurepaire Rohan
58010001;PB;João Pessoa;Centro;Rua Beaurepaire Rohan
58010005;PB;João Pessoa;Centro;Rua Índio Piragibe
58010010;PB;João Pessoa;Centro;Rua Manoel Soares Londres
58010020;PB;João Pessoa;Centro;Rua Riachuelo
58010030;PB;João Pessoa;Centro;Rua Tenente Retumba
58010040;PB;João Pessoa;Varadouro;Rua Sinhá Alves
58010050;PB;João Pessoa;Centro;Rua Desembargador Feitosa Ventura
58010052;PB;João Pessoa;Centro;Travessa Feitosa Ventura
58010060;PB;João Pessoa;Centro;Rua Silva Jardim
58010070;PB;João Pessoa;Varadouro;Rua Amaro Coutinho
58010080;PB;João Pessoa;Varadouro;Rua Duarte Lima
58010090;PB;João Pessoa;Varadouro;Rua Desembargador Paulo Hipácio
58010100;PB;João Pessoa;Centro;Rua Irineu Pinto
58010110;PB;João Pessoa;Varadouro;Rua Olímpio Pessoa de Arruda
58010112;PB;João Pessoa;Varadouro;Travessa Mulungu
58010115;PB;João Pessoa;Varadouro;Travessa Vinte e Quatro de Maio
58010120;PB;João Pessoa;Varadouro;Avenida Cruz Cordeiro
58010130;PB;João Pessoa;Varadouro;Rua Maciel Pinheiro
58010132;PB;João Pessoa;Varadouro;Rua Maciel Pinheiro
58010135;PB;João Pessoa;Varadouro;Vila Gravatá
58010140;PB;João Pessoa;Varadouro;Rua Idaleto
58010148;PB;João Pessoa;Varadouro;Rua Cícero Meireles
58010150;PB;João Pessoa;Varadouro;Rua Francisco Londres
58010155;PB;João Pessoa;Varadouro;Terminal Rodoviário
58010160;PB;João Pessoa;Centro;Rua Eugênio Toscano
58010170;PB;João Pessoa;Varadouro;Praça Firmino da Silveira
58010173;PB;João Pessoa;Varadouro;Vila Brasília
58010175;PB;João Pessoa;Varadouro;Vila José Fernandes
58010180;PB;João Pessoa;Centro;Rua da República
58010181;PB;João Pessoa;Centro;Rua da República
58010183;PB;João Pessoa;Varadouro;Vila Nove de Abril
58010185;PB;João Pessoa;Centro;Galeria Portela
58010190;PB;João Pessoa;Varadouro;Rua Professora Analice Caldas
58010200;PB;João Pessoa;Varadouro;Praça do Trabalho
58010210;PB;João Pessoa;Varadouro;Avenida Três de Maio
58010220;PB;João Pessoa;Varadouro;Rua Sargento Astor dos Santos Dantas
58010230;PB;João Pessoa;Varadouro;Avenida Sanhauá
58010235;PB;João Pessoa;Varadouro;Vila Mexicana
58010240;PB;João Pessoa;Varadouro;Rua Capitão José Domingues Torres
58010250;PB;João Pessoa;Varadouro;Rua Rodolfo Galvão
58010270;PB;João Pessoa;Varadouro;Rua São Miguel
58010271;PB;João Pessoa;Varadouro;Rua São Miguel
58010273;PB;João Pessoa;Varadouro;Vila Nonato
58010275;PB;João Pessoa;Varadouro;Rua Padre João Félix
58010290;PB;João Pessoa;Varadouro;Rua Visconde de Itaparica
58010292;PB;João Pessoa;Varadouro;Rua Índio Piragibe
58010300;PB;João Pessoa;Varadouro;Rua Leônidas Cunha Pedrosa
58010310;PB;João Pessoa;Varadouro;Rua Genaro Sorrentino
58010320;PB;João Pessoa;Centro;Praça Aristides Lobo
58010330;PB;João Pessoa;Varadouro;Rua Jacinto Cruz
58010340;PB;João Pessoa;Centro;Praça Pedro Américo
58010350;PB;João Pessoa;Varadouro;Rua Padre Lindolfo
58010360;PB;João Pessoa;Varadouro;Rua Padre Azevedo
58010380;PB;João Pessoa;Varadouro;Rua Sá Andrade
58010400;PB;João Pessoa;Varadouro;Avenida Barão do Triunfo
58010410;PB;João Pessoa;Varadouro;Avenida Santa Rosa
58010420;PB;João Pessoa;Varadouro;Rua Cardoso Vieira
58010430;PB;João Pessoa;Varadouro;Rua Henrique Siqueira
58010440;PB;João Pessoa;Varadouro;Praça Antônio Rabelo
58010450;PB;João Pessoa;Varadouro;Rua Gama e Melo
58010460;PB;João Pessoa;Varadouro;Rua Cândido Pessoa
58010470;PB;João Pessoa;Varadouro;Rua Desembargador Trindade
58010480;PB;João Pessoa;Varadouro;Praça Antenor Navarro
58010490;PB;João Pessoa;Varadouro;Rua Rosário Di Lorenzo
58010500;PB;João Pessoa;Varadouro;Rua Cinco de Agosto
58010510;PB;João Pessoa;Varadouro;Rua Adolfo Pessoa
58010520;PB;João Pessoa;Varadouro;Praça Quinze de Novembro
58010530;PB;João Pessoa;Varadouro;Praça Álvaro Machado
58010540;PB;João Pessoa;Varadouro;Praça Napoleão Laureano
58010550;PB;João Pessoa;Varadouro;Rua Visconde de Inhaúma
58010560;PB;João Pessoa;Varadouro;Rua General Lima Mindelo
58010570;PB;João Pessoa;Varadouro;Rua Porto do Capim
58010580;PB;João Pessoa;Varadouro;Rua João Suassuna
58010590;PB;João Pessoa;Varadouro;Praça São Pedro Gonçalves
58010595;PB;João Pessoa;Varadouro;Ladeira Pedro Gonçalves
58010600;PB;João Pessoa;Varadouro;Rua Padre Antônio Pereira
58010610;PB;João Pessoa;Varadouro;Praça Olavo Bilac
58010620;PB;João Pessoa;Varadouro;Rua Frei Vital
58010623;PB;João Pessoa;Varadouro;Travessa Frei Vital
58010625;PB;João Pessoa;Varadouro;Vila Nassau
58010630;PB;João Pessoa;Centro;Ladeira São Francisco
58010640;PB;João Pessoa;Varadouro;Rua da Areia
58010650;PB;João Pessoa;Centro;Praça São Francisco
