CEP;UF;CIDADE;BAIRRO;LOGRADOURO
50010000;PE;Recife;Santo Antônio;Avenida Guararapes
50010010;PE;Recife;Santo Antônio;Rua Siqueira Campos
50010020;PE;Recife;Santo Antônio;Rua Ulhoa Cintra
50010030;PE;Recife;Santo Antônio;Rua Frei Vicente do Salvador
50010040;PE;Recife;Santo Antônio;Praça da República
50010050;PE;Recife;Santo Antônio;Rua Doutor Moacir Baracho
50010060;PE;Recife;Santo Antônio;Rua Marquês do Recife
50010070;PE;Recife;Santo Antônio;Rua Primeiro de Março
50010080;PE;Recife;Santo Antônio;Praça da Independência
50010090;PE;Recife;Santo Antônio;Rua Matias de Albuquerque
50010100;PE;Recife;Santo Antônio;Rua Nova
50010110;PE;Recife;Santo Antônio;Rua das Flores
50010120;PE;Recife;Santo Antônio;Rua Frei Caneca
50010130;PE;Recife;Santo Antônio;Rua Infante Dom Henrique
50010140;PE;Recife;Santo Antônio;Rua Estreita do Rosário
50010150;PE;Recife;Santo Antônio;Travessa da Congregação
50010160;PE;Recife;Santo Antônio;Praça Dezessete
50010170;PE;Recife;Santo Antônio;Avenida Nossa Senhora do Carmo
50010180;PE;Recife;Santo Antônio;Praça Nossa Senhora do Carmo
50010230;PE;Recife;Santo Antônio;Avenida Martins de Barros
50010240;PE;Recife;Santo Antônio;Rua Imperador Dom Pedro II
50010290;PE;Recife;Santo Antônio;Rua Duque de Caxias
50010300;PE;Recife;Santo Antônio;Rua Diário de Pernambuco
50010310;PE;Recife;Santo Antônio;Rua Engenheiro Ubaldo Gomes de Matos
50010320;PE;Recife;Santo Antônio;Rua Larga do Rosário
50010340;PE;Recife;Santo Antônio;Rua do Fogo
50010360;PE;Recife;Santo Antônio;Avenida Dantas Barreto
50010370;PE;Recife;Santo Antônio;Rua Josefa Paes de Carvalho
50010380;PE;Recife;Santo Antônio;Rua Pedro Ivo
50010390;PE;Recife;Santo Antônio;Rua Camboa do Carmo
50010400;PE;Recife;Santo Antônio;Rua Doutor José Henrique Wanderley
50010410;PE;Recife;Santo Antônio;Rua da Roda
50010420;PE;Recife;Santo Antônio;Rua Alarico Bezerra
50010430;PE;Recife;Santo Antônio;Rua Cleto Campelo
50010440;PE;Recife;Santo Antônio;Rua Doutor Amaro Pedrosa
50010450;PE;Recife;Santo Antônio;Rua João Souto Maior
50010460;PE;Recife;Santo Antônio;Rua da Palma
50010470;PE;Recife;Santo Antônio;Rua do Sol
50010480;PE;Recife;Santo Antônio;Praça Joaquim Nabuco
50010500;PE;Recife;Santo Antônio;Praça Embaixador Assis Chateaubriand
50020000;PE;Recife;São José;Avenida Dantas Barreto
50020010;PE;Recife;Santo Antônio;Travessa do Falcão
50020020;PE;Recife;Santo Antônio;Rua Vinte e Quatro de Maio
50020030;PE;Recife;São José;Rua Marquês do Herval
50020040;PE;Recife;São José;Rua da Palma
50020050;PE;Recife;São José;Rua da Concórdia
50020060;PE;Recife;São José;Rua Floriano Peixoto
50020070;PE;Recife;São José;Cais da Detenção
50020080;PE;Recife;São José;Avenida Rio Capibaribe
50020090;PE;Recife;São José;Travessa Cais da Detenção
50020100;PE;Recife;São José;Praça Visconde de Mauá
50020110;PE;Recife;São José;Rua da Indústria
50020120;PE;Recife;São José;Rua Barão da Vitória
50020130;PE;Recife;São José;Rua Passos da Pátria
50020140;PE;Recife;São José;Rua Doutor Bartolomeu Anacleto
50020150;PE;Recife;São José;Rua São João
50020160;PE;Recife;São José;Rua Lambari
50020170;PE;Recife;São José;Rua do Ramos
50020180;PE;Recife;São José;Rua do Peixoto
50020190;PE;Recife;São José;Rua do Muniz
50020200;PE;Recife;São José;Praça Sérgio Loreto
50020210;PE;Recife;São José;Rua São Pedro
50020220;PE;Recife;São José;Pátio São de Pedro
50020230;PE;Recife;São José;Travessa São Pedro
50020240;PE;Recife;São José;Rua das Águas Verdes
50020250;PE;Recife;São José;Rua Felipe Camarão
50020260;PE;Recife;São José;Rua Direita
50020280;PE;Recife;São José;Praça Dom Vital
50020290;PE;Recife;São José;Rua das Calçadas
50020300;PE;Recife;São José;Travessa do Macêdo
50020310;PE;Recife;São José;Rua São José do Ribamar
50020320;PE;Recife;São José;Rua Santa de Rita
50020330;PE;Recife;São José;Rua Santa Cecília
50020340;PE;Recife;São José;Rua do Nogueira
50020350;PE;Recife;São José;Rua Padre Muniz
50020360;PE;Recife;São José;Cais Santa Rita
50020370;PE;Recife;São José;Travessa Cirigado
50020380;PE;Recife;São José;Rua Padre Floriano
50020390;PE;Recife;São José;Rua Antônio Henrique
50020400;PE;Recife;São José;Rua Coração de Maria
50020410;PE;Recife;São José;Rua dos Pescadores
50020420;PE;Recife;São José;Rua do Forte
50020430;PE;Recife;São José;Rua do Jardim
50020440;PE;Recife;São José;Rua Cristóvão Colombo
50020450;PE;Recife;São José;Travessa dos Martírios
50020460;PE;Recife;São José;Rua Frei Henrique
50020470;PE;Recife;São José;Rua do Dique
50020480;PE;Recife;São José;Rua Vidal de Negreiros
50020490;PE;Recife;São José;Travessa do Forte
50020500;PE;Recife;São José;Praça das Cinco Pontas
50020520;PE;Recife;São José;Travessa do Gusmão
50020540;PE;Recife;São José;Beco do Marroquim
50020550;PE;Recife;São José;Rua da Praia
50020560;PE;Recife;São José;Rua do Rangel
50020570;PE;Recife;São José;Rua do Livramento
50020580;PE;Recife;São José;Rua da Penha
50020610;PE;Recife;São José;Rua do Porão
50020620;PE;Recife;São José;Rua da Carioca
50020630;PE;Recife;São José;Travessa Arsenal de Guerra
50020700;PE;Recife;São José;Rua Tobias Barreto
50020710;PE;Recife;São José;Rua Pintor Hélio Feijó
50030000;PE;Recife;Recife;Avenida Marquês de Olinda
50030010;PE;Recife;Recife;Rua Vigário Tenório
50030020;PE;Recife;Recife;Rua Tomazina
50030030;PE;Recife;Recife;Rua da Alfândega
50030040;PE;Recife;Recife;Rua da Moeda
50030050;PE;Recife;Recife;Travessa Tuyuty
50030060;PE;Recife;Recife;Rua dos Arrecifes
50030070;PE;Recife;Recife;Travessa do Amorim
50030080;PE;Recife;Recife;Rua Professor Aloísio Magalhães
50030090;PE;Recife;Recife;Rua Aluísio Periquito
50030100;PE;Recife;Recife;Cais da Alfândega
50030110;PE;Recife;Recife;Rua Madre de Deus
50030120;PE;Recife;Recife;Rua Mariz e Barros
50030130;PE;Recife;Recife;Rua da Assembléia
50030140;PE;Recife;Recife;Rua Dona Maria César
50030150;PE;Recife;Recife;Avenida Alfredo Lisboa
50030160;PE;Recife;Recife;Rua Álvares Cabral
50030170;PE;Recife;Recife;Rua do Bom Jesus
50030180;PE;Recife;Recife;Rua Barão Rodrigues Mendes
50030190;PE;Recife;Recife;Rua Itaiópolis
50030200;PE;Recife;Recife;Rua Domingos José Martins
50030210;PE;Recife;Recife;Rua da Guia
50030220;PE;Recife;Recife;Rua do Apolo
50030230;PE;Recife;Recife;Cais do Apolo
50030240;PE;Recife;Recife;Rua São de Jorge
50030250;PE;Recife;Recife;Rua Bernardo Vieira de Melo
50030260;PE;Recife;Recife;Rua do Brum
50030270;PE;Recife;Recife;Avenida Militar
50030280;PE;Recife;Recife;Praça da Comunidade Luso Brasileira
50030290;PE;Recife;Recife;Rua Doutor Ascânio Peixoto
50030300;PE;Recife;Recife;Rua Carlos Salazar
50030310;PE;Recife;Recife;Avenida Rio Branco
50030320;PE;Recife;Recife;Praça Rio Branco
50030330;PE;Recife;Recife;Avenida Barbosa Lima
50030350;PE;Recife;Recife;Rua do Observatório
50030360;PE;Recife;Recife;Praça Arsenal da Marinha
50030370;PE;Recife;Recife;Rua Vital de Oliveira
50030380;PE;Recife;Recife;Travessa Tiradentes
50030390;PE;Recife;Recife;Rua Bione
50030400;PE;Recife;Recife;Rua do Moinho
50030410;PE;Recife;Recife;Rua Engenheiro Edgar Werneck
50030420;PE;Recife;Recife;Rua do Ocidente
50030430;PE;Recife;Recife;Rua Fausta Alcoforado Leite
50030440;PE;Recife;Recife;Rua do Pilar
50030450;PE;Recife;Recife;Rua Primavera
50030460;PE;Recife;Recife;Praça Artur Oscar
50030470;PE;Recife;Recife;Praça Forte do Brum
50030480;PE;Recife;Recife;Praça Tiradentes
50040000;PE;Recife;Santo Amaro;Avenida Cruz Cabugá
50040001;PE;Recife;Santo Amaro;Travessa Cruz Cabugá
50040010;PE;Recife;Santo Amaro;Avenida Mário Melo
50040020;PE;Recife;Santo Amaro;Rua São Geraldo
50040030;PE;Recife;Santo Amaro;Rua Rocha Pita
50040040;PE;Recife;Santo Amaro;Rua Radialista Amarílio Nicéas
50040050;PE;Recife;Santo Amaro;Rua da Piedade
