CEP;UF;CIDADE;BAIRRO;LOGRADOURO
64000010;PI;Teresina;Centro;Avenida Maranhão
64000020;PI;Teresina;Centro;Avenida Frei Serafim
64000030;PI;Teresina;Centro;Rua João Cabral
64000040;PI;Teresina;Centro;Praça da Liberdade
64000050;PI;Teresina;Centro;Rua Riachuelo
64000060;PI;Teresina;Centro;Rua Álvaro Mendes
64000070;PI;Teresina;Centro;Rua Firmino Pires
64000080;PI;Teresina;Centro;Rua Coelho Rodrigues
64000090;PI;Teresina;Centro;Rua Rui Barbosa
64000100;PI;Teresina;Centro;Praça Demóstenes Avelino
64000110;PI;Teresina;Centro;Rua Simplício Mendes
64000120;PI;Teresina;Centro;Rua Eliseu Martins
64000128;PI;Teresina;Centro;Rua Magalhães Filho
64000130;PI;Teresina;Centro;Rua Barroso
64000140;PI;Teresina;Centro;Praça Rio Branco
64000150;PI;Teresina;Centro;Rua Treze de Maio
64000160;PI;Teresina;Centro;Praça Marechal Deodoro
64000170;PI;Teresina;Centro;Praça João Luís Ferreira
64000180;PI;Teresina;Centro;Rua Areolino de Abreu
64000190;PI;Teresina;Centro;Rua David Caldas
64000200;PI;Teresina;Centro;Rua Lisandro Nogueira
64000210;PI;Teresina;Centro;Rua Sete de Setembro
64000220;PI;Teresina;Centro;Praça Landri Sales
64000235;PI;Teresina;Centro;Rua Vinte Quatro de Janeiro
64000240;PI;Teresina;Centro;Rua Desembargador Freitas
64000250;PI;Teresina;Centro;Rua Gabriel Ferreira
64000270;PI;Teresina;Centro;Rua Quintino Bocaiúva
64000280;PI;Teresina;Centro;Rua Benjamin Constant
64000290;PI;Teresina;Centro;Rua Arlindo Nogueira
64000300;PI;Teresina;Centro;Avenida Campos Sales
64000310;PI;Teresina;Centro;Rua Doutor Area Leão
64000320;PI;Teresina;Centro;Rua Alvorada
64000330;PI;Teresina;Centro;Rua Anísio de Abreu
64000340;PI;Teresina;Centro;Praça João Gayoso
64000360;PI;Teresina;Centro;Rua Clodoaldo Freitas
64000362;PI;Teresina;Centro;Rua Coronel Antonio Soares Filho
64000370;PI;Teresina;Centro;Rua Coelho de Resende
64000380;PI;Teresina;Centro;Rua Tiradentes
64000390;PI;Teresina;Centro;Rua Desembargador Pires de Castro
64000400;PI;Teresina;Centro;Rua Jonatas Batista
64000410;PI;Teresina;Centro;Praça Floriano Peixoto
64000420;PI;Teresina;Centro;Praça Antonio Cristino Leite
64000430;PI;Teresina;Centro;Rua Primeiro de Maio
64000440;PI;Teresina;Centro;Rua Lucídio Freitas
64000450;PI;Teresina;Centro;Rua Governador Raimundo Artur de Vasconcelos
64000460;PI;Teresina;Centro;Rua Manoel Domingues
64000470;PI;Teresina;Centro;Rua Dezenove de Novembro
64000480;PI;Teresina;Centro;Avenida Miguel Rosa
64000510;PI;Teresina;Cabral;Rua Orlando Rollo
64000515;PI;Teresina;Cabral;Rua Josefa Lopes de Araújo
64000520;PI;Teresina;Cabral;Rua Monsenhor Lopes
64000525;PI;Teresina;Cabral;Rua Luiz Eugenio de Carvalho
64000530;PI;Teresina;Cabral;Rua Paraíso
64000535;PI;Teresina;Cabral;Rua Netinho da Flauta
64000540;PI;Teresina;Cabral;Rua Osvaldo Cruz
64000545;PI;Teresina;Cabral;Conjunto Jardim Teresina
64000550;PI;Teresina;Cabral;Rua Professor José Amável
64000580;PI;Teresina;Cabral;Rua General Osório
64000590;PI;Teresina;Cabral;Avenida Frei Serafim
64000600;PI;Teresina;Cabral;Rua Gonçalo Cavalcante
64000610;PI;Teresina;Cabral;Rua Antonio Almeida
64000620;PI;Teresina;Cabral;Rua Galeria
64000630;PI;Teresina;Cabral;Rua Nina Rodrigues
64000640;PI;Teresina;Cabral;Rua Juca Trindade
64000650;PI;Teresina;Cabral;Avenida Pinel
64000660;PI;Teresina;Cabral;Rua Francisco Araújo Fortes
64000670;PI;Teresina;Cabral;Rua José Beleza
64000680;PI;Teresina;Cabral;Rua Ghandi
64000690;PI;Teresina;Cabral;Rua Enfermeira Mundoca
64000700;PI;Teresina;Cabral;Rua Juliano Moreira
64000710;PI;Teresina;Cabral;Rua Mato Grosso
64000720;PI;Teresina;Cabral;Rua Franco da Rocha
64000730;PI;Teresina;Porenquanto;Rua Márcia
64000740;PI;Teresina;Cabral;Rua do Cabral
64000750;PI;Teresina;Cabral;Rua Governador Tibério Nunes
64000760;PI;Teresina;Cabral;Rua Engenheiro Sampaio
64000780;PI;Teresina;Cabral;Rua Francisco Mendes
64000790;PI;Teresina;Cabral;Rua Padre Tomaz Rêgo
64000810;PI;Teresina;Cabral;Avenida Marechal Castelo Branco
64000822;PI;Teresina;Cabral;Rua Acre
64000830;PI;Teresina;Cabral;Praça Edgard Nogueira
64000840;PI;Teresina;Cabral;Rua Pérola
64000850;PI;Teresina;Cabral;Rua Regente Feijó
64000860;PI;Teresina;Cabral;Rua Mem de Sá
64001010;PI;Teresina;Centro;Avenida Maranhão
64001020;PI;Teresina;Centro;Avenida Frei Serafim
64001030;PI;Teresina;Centro;Rua João Cabral
64001040;PI;Teresina;Centro;Avenida Antonino Freire
64001050;PI;Teresina;Centro;Rua Riachuelo
64001060;PI;Teresina;Centro;Rua Senador Teodoro Pacheco
64001070;PI;Teresina;Centro;Rua Firmino Pires
64001080;PI;Teresina;Centro;Praça São Benedito
64001090;PI;Teresina;Centro;Rua Rui Barbosa
64001100;PI;Teresina;Centro;Praça Pedro II
64001110;PI;Teresina;Centro;Rua Simplício Mendes
64001120;PI;Teresina;Centro;Rua Paissandu
64001130;PI;Teresina;Centro;Rua Barroso
64001140;PI;Teresina;Frei Serafim;Rua Monsenhor Gil
64001150;PI;Teresina;Centro;Rua Treze de Maio
64001160;PI;Teresina;Centro;Rua Félix Pacheco
64001190;PI;Teresina;Centro;Rua David Caldas
64001200;PI;Teresina;Centro;Praça Saraiva
64001210;PI;Teresina;Centro;Rua Sete de Setembro
64001230;PI;Teresina;Centro;Rua Vinte Quatro de Janeiro
64001250;PI;Teresina;Centro;Rua Gabriel Ferreira
64001260;PI;Teresina;Centro;Rua São Pedro
64001270;PI;Teresina;Centro;Rua Quintino Bocaiúva
64001280;PI;Teresina;Centro;Rua Olavo Bilac
64001290;PI;Teresina;Centro;Rua Arlindo Nogueira
64001300;PI;Teresina;Centro;Avenida José dos Santos e Silva
64001310;PI;Teresina;Centro;Rua Doutor Area Leão
64001320;PI;Teresina;Centro;Rua Heitor Castelo Branco
64001330;PI;Teresina;Centro;Rua Anísio de Abreu
64001340;PI;Teresina;Centro;Rua Taumaturgo de Azevedo
64001350;PI;Teresina;Centro;Rua Magalhães Filho
64001360;PI;Teresina;Centro;Rua São João
64001370;PI;Teresina;Centro;Rua Coelho de Resende
64001380;PI;Teresina;Centro;Rua Tersandro Paz
64001390;PI;Teresina;Centro;Rua Desembargador Pires de Castro
64001400;PI;Teresina;Centro;Rua Santa Luzia
64001420;PI;Teresina;Centro;Praça da Costa e Silva
64001430;PI;Teresina;Centro;Rua Primeiro de Maio
64001440;PI;Teresina;Centro;Rua Ricardo Seabra
64001450;PI;Teresina;Centro;Rua Governador Raimundo Artur de Vasconcelos
64001460;PI;Teresina;Centro;Praça Raimundo Barbosa de Miranda Neto
64001470;PI;Teresina;Centro;Rua Dezenove de Novembro
64001480;PI;Teresina;Centro;Avenida Joaquim Ribeiro
64001490;PI;Teresina;Centro;Avenida Miguel Rosa
64001495;PI;Teresina;Centro;Avenida Miguel Rosa
64001530;PI;Teresina;Frei Serafim;Rua Santa Catarina
64001540;PI;Teresina;Frei Serafim;Avenida Frei Serafim
64001550;PI;Teresina;Frei Serafim;Rua Rio Grande do Sul
64001560;PI;Teresina;Frei Serafim;Rua Heitor Castelo Branco
64001570;PI;Teresina;Frei Serafim;Rua São Pedro
64001580;PI;Teresina;Frei Serafim;Rua Olavo Bilac
64001610;PI;Teresina;Frei Serafim;Rua Governador Tibério Nunes
64001615;PI;Teresina;Frei Serafim;Rua Mato Grosso
64001620;PI;Teresina;Frei Serafim;Rua Goiás
64001625;PI;Teresina;Frei Serafim;Rua Acre
64001660;PI;Teresina;Frei Serafim;Rua José Olímpio de Melo
64001665;PI;Teresina;Frei Serafim;Rua Taumaturgo de Azevedo
64001670;PI;Teresina;Frei Serafim;Rua Amapá
64001685;PI;Teresina;Frei Serafim;Avenida Marechal Castelo Branco
64001690;PI;Teresina;Frei Serafim;Rua Regeneração
64002020;PI;Teresina;Matinha;Rua Padre Marcos
64002030;PI;Teresina;Matinha;Rua Aparecida
64002040;PI;Teresina;Matinha;Rua Padre Acelino Portela
64002050;PI;Teresina;Matinha;Rua Pinto do Lago
64002060;PI;Teresina;Matinha;Rua Monsenhor Boson
64002070;PI;Teresina;Acarape;Rua Moisés Said
