CEP;UF;CIDADE;BAIRRO;LOGRADOURO
80010000;PR;Curitiba;Centro;Rua José Loureiro
80010010;PR;Curitiba;Centro;Rua Marechal Deodoro
80010020;PR;Curitiba;Centro;Rua Pedro Ivo
80010030;PR;Curitiba;Centro;Praça Rui Barbosa
80010040;PR;Curitiba;Centro;Largo Alfredo Parodi
80010050;PR;Curitiba;Centro;Rua Emiliano Perneta
80010060;PR;Curitiba;Centro;Travessa Jesuíno Marcondes
80010070;PR;Curitiba;Centro;Rua Senador Alencar Guimarães
80010080;PR;Curitiba;Centro;Rua André de Barros
80010090;PR;Curitiba;Centro;Travessa Frei Caneca
80010100;PR;Curitiba;Centro;Avenida Visconde de Guarapuava
80010110;PR;Curitiba;Centro;Rua Desembargador Westphalen
80010120;PR;Curitiba;Centro;Alameda Doutor Muricy
80010130;PR;Curitiba;Centro;Avenida Marechal Floriano Peixoto
80010140;PR;Curitiba;Centro;Praça Carlos Gomes
80010150;PR;Curitiba;Centro;Rua Monsenhor Celso
80010160;PR;Curitiba;Centro;Rua Lourenço Pinto
80010170;PR;Curitiba;Centro;Praça Eufrásio Correia
80010180;PR;Curitiba;Centro;Rua Barão do Rio Branco
80010190;PR;Curitiba;Centro;Travessa da Lapa
80010200;PR;Curitiba;Centro;Rua João Negrão
80010210;PR;Curitiba;Centro;Praça Senador Correia
80020000;PR;Curitiba;Centro;Rua Voluntários da Pátria
80020010;PR;Curitiba;Centro;Praça General Osório
80020020;PR;Curitiba;Centro;Avenida Luiz Xavier
80020030;PR;Curitiba;Centro;Travessa Oliveira Bello
80020040;PR;Curitiba;Centro;Alameda Doutor Muricy
80020050;PR;Curitiba;Centro;Rua Cândido de Leão
80020060;PR;Curitiba;Centro;Rua Candido Lopes
80020070;PR;Curitiba;Centro;Largo Frederico Faria de Oliveira
80020080;PR;Curitiba;Centro;Praça Zacarias
80020090;PR;Curitiba;Centro;Avenida Marechal Floriano Peixoto
80020100;PR;Curitiba;Centro;Praça Tiradentes
80020110;PR;Curitiba;Centro;Rua do Rosário
80020120;PR;Curitiba;Centro;Travessa Nestor de Castro
80020130;PR;Curitiba;Centro;Rua José Bonifácio
80020140;PR;Curitiba;Centro;Galeria Júlio Moreira
80020150;PR;Curitiba;São Francisco;Largo Coronel Enéas
80020160;PR;Curitiba;Centro;Travessa Padre Júlio de Campos
80020170;PR;Curitiba;São Francisco;Rua Doutor Claudino dos Santos
80020180;PR;Curitiba;Centro;Rua Barão do Serro Azul
80020190;PR;Curitiba;Centro;Rua São Francisco
80020200;PR;Curitiba;Centro;Rua Prefeito João Moreira Garcez
80020210;PR;Curitiba;Centro;Travessa Tobias de Macedo
80020220;PR;Curitiba;Centro;Praça José Borges de Macedo
80020230;PR;Curitiba;Centro;Praça Generoso Marques
80020240;PR;Curitiba;Centro;Rua Alfredo Bufren
80020250;PR;Curitiba;Centro;Rua Riachuelo
80020260;PR;Curitiba;Centro;Praça Dezenove de Dezembro
80020270;PR;Curitiba;Centro;Rua Treze de Maio
80020280;PR;Curitiba;Centro;Rua Presidente Carlos Cavalcanti
80020290;PR;Curitiba;Centro;Rua Presidente Faria
80020300;PR;Curitiba;Centro;Praça Santos Andrade
80020310;PR;Curitiba;Centro;Rua XV de Novembro
80020320;PR;Curitiba;Centro;Rua Marechal Deodoro
80020330;PR;Curitiba;Centro;Parque Passeio Público
80020340;PR;Curitiba;Centro;Galeria Pinheiro Lima
80030000;PR;Curitiba;Alto da Glória;Avenida João Gualberto
80030001;PR;Curitiba;Juvevê;Avenida João Gualberto
80030010;PR;Curitiba;Centro;Rua Luiz Leão
80030020;PR;Curitiba;Centro Cívico;Praça Gibran Khalil Gibran
80030030;PR;Curitiba;Centro Cívico;Rua Heitor Stockler de Franca
80030040;PR;Curitiba;Centro Cívico;Largo José Knopfholz
80030050;PR;Curitiba;Centro Cívico;Rua Ary Camargo Queiroz
80030060;PR;Curitiba;Centro Cívico;Rua da Glória
80030070;PR;Curitiba;Centro Cívico;Rua Comendador Fontana
80030080;PR;Curitiba;Alto da Glória;Travessa Itália
80030090;PR;Curitiba;Alto da Glória;Travessa Rui Leão
80030100;PR;Curitiba;Centro;Rua Padre Antônio
80030110;PR;Curitiba;Centro;Avenida Agostinho Leão Júnior
80030120;PR;Curitiba;Alto da Glória;Rua Gottlieb Müeller
80030130;PR;Curitiba;Alto da Glória;Rua Carlos Eduardo Leão
80030140;PR;Curitiba;Alto da Glória;Rua Maria Clara
80030150;PR;Curitiba;Alto da Glória;Travessa Luthero
80030152;PR;Curitiba;Alto da Glória;Trincheira da Avenida João Gualberto
80030160;PR;Curitiba;Alto da Glória;Praça Goethe
80030170;PR;Curitiba;Alto da Glória;Praça Portugal
80030180;PR;Curitiba;Alto da Glória;Rua Ivo Leão
80030182;PR;Curitiba;Alto da Glória;Jardinete Engenheiro Raul Iwersen
80030190;PR;Curitiba;Alto da Glória;Travessa José do Patrocínio
80030200;PR;Curitiba;Alto da Glória;Rua Mauá
80030210;PR;Curitiba;Alto da Glória;Rua Tertuliano Müller
80030220;PR;Curitiba;Alto da Glória;Rua Amâncio Moro
80030230;PR;Curitiba;Alto da Glória;Rua Campos Sales
80030232;PR;Curitiba;Alto da Glória;Praça Else Schiller Otte
80030240;PR;Curitiba;Alto da Glória;Rua Augusto Severo
80030250;PR;Curitiba;Alto da Glória;Rua Pedro Rolim de Moura
80030260;PR;Curitiba;Alto da Glória;Rua Simão Bolivar
80030270;PR;Curitiba;Alto da Glória;Rua Paraguassu
80030280;PR;Curitiba;Juvevê;Rua Alberto Bolliger
80030285;PR;Curitiba;Ahú;Rua Campos Sales
80030290;PR;Curitiba;Alto da Glória;Rua Doutor Goulin
80030300;PR;Curitiba;Juvevê;Rua Cândido Mader
80030310;PR;Curitiba;Alto da Glória;Rua Barão de Guaraúna
80030320;PR;Curitiba;Alto da Glória;Rua Doutor Zamenhof
80030330;PR;Curitiba;Alto da Glória;Rua Nicolau Maeder
80030340;PR;Curitiba;Alto da Glória;Rua Augusto Stresser
80030360;PR;Curitiba;Alto da Glória;Rua Constantino Marochi
80030370;PR;Curitiba;Juvevê;Rua Machado de Assis
80030376;PR;Curitiba;Juvevê;Rua Campos Sales
80030378;PR;Curitiba;Juvevê;Rua Campos Sales
80030380;PR;Curitiba;Juvevê;Rua Cambará
80030390;PR;Curitiba;Juvevê;Rua Rocha Pombo
80030400;PR;Curitiba;Juvevê;Rua Barão dos Campos Gerais
80030402;PR;Curitiba;Juvevê;Praça Vivian Calopreso Braga
80030410;PR;Curitiba;Juvevê;Rua Moyses Marcondes
80030415;PR;Curitiba;Juvevê;Jardinete Mário Bandeira Rocha
80030420;PR;Curitiba;Juvevê;Rua Guarda-Mor Lustosa
80030430;PR;Curitiba;Juvevê;Rua Elbe Pospissil
80030440;PR;Curitiba;Juvevê;Rua Manoel Eufrásio
80030450;PR;Curitiba;Juvevê;Jardinete Paul Harris
80030460;PR;Curitiba;Juvevê;Travessa Doutor Flávio Luz
80030462;PR;Curitiba;Juvevê;Jardinete Padre Bonifácio Kleinpass
80030470;PR;Curitiba;Juvevê;Rua São Vicente
80030475;PR;Curitiba;Juvevê;Avenida Munhoz da Rocha
80030480;PR;Curitiba;Juvevê;Praça São Paulo da Cruz
80030510;PR;Curitiba;Juvevê;Rua Melchíades Fangueiro
80030530;PR;Curitiba;Juvevê;Jardinete José de Oliveira Rocha
80035000;PR;Curitiba;Cabral;Avenida Munhoz da Rocha
80035010;PR;Curitiba;Juvevê;Rua Bom Jesus
80035015;PR;Curitiba;Juvevê;Jardinete Guilherme Ronconi
80035020;PR;Curitiba;Cabral;Rua São Pedro
80035030;PR;Curitiba;Cabral;Rua Doutor Manoel Pedro
80035040;PR;Curitiba;Cabral;Rua Chichorro Júnior
80035050;PR;Curitiba;Cabral;Rua dos Funcionários
80035060;PR;Curitiba;Cabral;Rua João Américo de Oliveira
80035070;PR;Curitiba;Cabral;Rua Alfredo Wenske
80035080;PR;Curitiba;Cabral;Rua Clóvis Beviláqua
80035090;PR;Curitiba;Cabral;Rua Quintino Bocaiúva
80035100;PR;Curitiba;Cabral;Rua Professor Arthur Loyola
80035110;PR;Curitiba;Cabral;Rua Recife
80035120;PR;Curitiba;Cabral;Rua Deputado Joaquim José Pedrosa
80035130;PR;Curitiba;Cabral;Avenida Paraná
80035140;PR;Curitiba;Cabral;Rua São Luiz
80035142;PR;Curitiba;Cabral;Praça Coronel Elísio da Costa Marques
80035150;PR;Curitiba;Cabral;Rua Coronel João de Alencar Guimarães Filho
80035160;PR;Curitiba;Cabral;Rua dos Passionistas
80035170;PR;Curitiba;Cabral;Rua Belém
80035180;PR;Curitiba;Cabral;Rua Vereador Garcia Rodrigues Velho
80035190;PR;Curitiba;Cabral;Praça da Suíça
80035200;PR;Curitiba;Cabral;Travessa Graciosa
80035210;PR;Curitiba;Cabral;Rua Vereador Antônio dos Reis Cavalheiro
80035215;PR;Curitiba;Cabral;Jardinete Felipe Nievola
80035220;PR;Curitiba;Cabral;Rua Campinas
80035230;PR;Curitiba;Cabral;Rua Coronel Amazonas Marcondes
80035232;PR;Curitiba;Cabral;Rua Santo Afonso de Ligório
80035235;PR;Curitiba;Cabral;Travessa Rodolpho Rosenau
80035240;PR;Curitiba;Cabral;Rua Vitória
80035250;PR;Curitiba;Cabral;Rua Pedro Fabri
80035260;PR;Curitiba;Cabral;Rua Abílio Peixoto
80035270;PR;Curitiba;Cabral;Rua da Bandeira
