CEP;UF;CIDADE;BAIRRO;LOGRADOURO
59010000;RN;Natal;Praia do Meio;Avenida Presidente Café Filho
59010005;RN;Natal;Praia do Meio;Travessa Presidente Café Filho
59010008;RN;Natal;Praia do Meio;Praça Miguel Carrilho
59010010;RN;Natal;Praia do Meio;Rua Capitão-Mor Gouveia
59010015;RN;Natal;Praia do Meio;Rua Miramar
59010020;RN;Natal;Praia do Meio;Rua Feliciano Coelho
59010025;RN;Natal;Praia do Meio;Rua Mascarenha Homem
59010030;RN;Natal;Praia do Meio;Avenida Vinte e Cinco de Dezembro
59010035;RN;Natal;Praia do Meio;Rua Vinte e Cinco de Dezembro
59010036;RN;Natal;Praia do Meio;Travessa Vinte e Cinco de Dezembro
59010038;RN;Natal;Praia do Meio;Rua Túlio Fernandes
59010040;RN;Natal;Praia do Meio;Rua Padre Lemos
59010045;RN;Natal;Praia do Meio;Praça dos Heróis
59010050;RN;Natal;Praia do Meio;Rua Rodrigues Dias
59010054;RN;Natal;Praia do Meio;Rua General Gustavo Cordeiro de Faria
59010056;RN;Natal;Praia do Meio;Avenida Nilo Peçanha
59010058;RN;Natal;Praia do Meio;Escadaria Darcy Vargas
59010060;RN;Natal;Praia do Meio;Travessa Brasil
59010065;RN;Natal;Rocas;Rua São Francisco
59010070;RN;Natal;Praia do Meio;Rua Feliciano Dias
59010075;RN;Natal;Rocas;1ª Travessa São Francisco
59010076;RN;Natal;Rocas;2ª Travessa São Francisco
59010080;RN;Natal;Praia do Meio;Rua Monte Carlo
59010082;RN;Natal;Praia do Meio;Vila Petriz
59010085;RN;Natal;Praia do Meio;Travessa Monte Carlo
59010086;RN;Natal;Praia do Meio;2ª Travessa Monte Carlos
59010090;RN;Natal;Praia do Meio;Rua do Motor
59010092;RN;Natal;Praia do Meio;Vila Isabel
59010093;RN;Natal;Praia do Meio;Vila Diniz
59010094;RN;Natal;Praia do Meio;Travessa Darcy Vargas
59010095;RN;Natal;Praia do Meio;Travessa do Motor
59010096;RN;Natal;Praia do Meio;Rua Geraldo Nogueira Nicácio
59010097;RN;Natal;Praia do Meio;Ladeira do Sol
59010098;RN;Natal;Praia do Meio;Rua Darcy Vargas
59010100;RN;Natal;Praia do Meio;Rua Monte Alegre
59010105;RN;Natal;Praia do Meio;Travessa Monte Alegre
59010110;RN;Natal;Praia do Meio;Rua Almirante Barroso
59010115;RN;Natal;Praia do Meio;Rua Aderbal de Figueiredo
59010120;RN;Natal;Praia do Meio;Rua Altamira
59010123;RN;Natal;Praia do Meio;Rua Desembargador Lins Bahia
59010125;RN;Natal;Praia do Meio;Travessa Altamira
59010130;RN;Natal;Rocas;Rua do Areial
59010131;RN;Natal;Rocas;Vila do Areial
59010132;RN;Natal;Rocas;Passagem do Areial
59010134;RN;Natal;Rocas;Rua dos Ferroviários
59010136;RN;Natal;Rocas;Travessa Francisco Valentin
59010140;RN;Natal;Praia do Meio;Travessa São Geraldo
59010150;RN;Natal;Praia do Meio;Travessa Vagalúpia
59010160;RN;Natal;Praia do Meio;Rua Pedro Afonso
59010165;RN;Natal;Rocas;Travessa Pedro Afonso
59010175;RN;Natal;Praia do Meio;Vila Soares
59010185;RN;Natal;Praia do Meio;Vila São José
59010190;RN;Natal;Rocas;Rua Desembargador Lins Bahia
59010210;RN;Natal;Rocas;Largo Professor Acrísio Freire
59010220;RN;Natal;Rocas;Rua Expedicionário José Varela
59010225;RN;Natal;Rocas;Travessa Expedicionário José Varela
59010226;RN;Natal;Rocas;2ª Travessa Expedicionário José Varela
59010240;RN;Natal;Santos Reis;Rua São Francisco
59010245;RN;Natal;Rocas;Travessa São Francisco
59010250;RN;Natal;Rocas;Rua Ferreira Itajubá
59010255;RN;Natal;Rocas;Travessa Ferreira Itajubá
59010260;RN;Natal;Rocas;Rua Desembargador Lemos Filho
59010262;RN;Natal;Rocas;Travessa Café Filho
59010270;RN;Natal;Rocas;Rua Santo Antônio
59010275;RN;Natal;Rocas;Travessa Santo Antônio
59010280;RN;Natal;Rocas;Rua Belo Horizonte
59010281;RN;Natal;Rocas;2ª Travessa Belo Horizonte
59010282;RN;Natal;Rocas;3ª Travessa Belo Horizonte
59010285;RN;Natal;Rocas;Travessa João Café
59010288;RN;Natal;Rocas;Travessa Belo Horizonte
59010290;RN;Natal;Rocas;Rua Pastor Climaco Bueno Azza
59010300;RN;Natal;Rocas;Rua Belo Monte
59010305;RN;Natal;Rocas;Travessa Belo Monte
59010307;RN;Natal;Rocas;Vila Carrapeta
59010310;RN;Natal;Rocas;Rua Mestre Lucarino
59010315;RN;Natal;Rocas;Travessa Campos Pinto
59010316;RN;Natal;Rocas;2ª Travessa Campos Pinto
