CEP;UF;CIDADE;BAIRRO;LOGRADOURO
76801000;RO;Porto Velho;Centro;Avenida Pinheiro Machado
76801002;RO;Porto Velho;Centro;Beco Duque de Caxias
76801004;RO;Porto Velho;Centro;Rua Major Amarante
76801006;RO;Porto Velho;Centro;Rua Duque de Caxias
76801008;RO;Porto Velho;Centro;Beco Coronel Carlos Mader
76801010;RO;Porto Velho;Centro;Rua Rui Barbosa
76801012;RO;Porto Velho;Centro;Avenida Carlos Gomes
76801014;RO;Porto Velho;Centro;Beco da Embratel
76801016;RO;Porto Velho;Centro;Rua Dom Pedro II
76801019;RO;Porto Velho;Centro;Avenida Farquar
76801020;RO;Porto Velho;Centro;Avenida Farquar
76801021;RO;Porto Velho;Centro;Avenida Farquar
76801022;RO;Porto Velho;Centro;Praça Madeira Mamoré
76801025;RO;Porto Velho;Centro;Rua João Alfredo
76801026;RO;Porto Velho;Centro;Rua Euclides da Cunha
76801028;RO;Porto Velho;Centro;Avenida Sete de Setembro
76801030;RO;Porto Velho;Centro;Avenida Rogério Weber
76801032;RO;Porto Velho;Centro;Rua Almirante Barroso
76801034;RO;Porto Velho;Centro;Avenida Presidente Dutra
76801036;RO;Porto Velho;Centro;Rua José de Alencar
76801038;RO;Porto Velho;Centro;Rua Riachuelo
76801039;RO;Porto Velho;Centro;Rua Prudente de Moraes
76801040;RO;Porto Velho;Centro;Rua Prudente de Moraes
76801044;RO;Porto Velho;Centro;Rua Natanael de Albuquerque
76801045;RO;Porto Velho;Centro;Avenida Sete de Setembro
76801048;RO;Porto Velho;Centro;Rua Dom Pedro II
76801050;RO;Porto Velho;Centro;Rua José do Patrocínio
76801052;RO;Porto Velho;Centro;Rua Renato Medeiros
76801054;RO;Porto Velho;Centro;Rua Euclides da Cunha
76801056;RO;Porto Velho;Centro;Rua Henrique Dias
76801058;RO;Porto Velho;Centro;Avenida Rogério Weber
76801059;RO;Porto Velho;Centro;Avenida Presidente Dutra
76801060;RO;Porto Velho;Centro;Avenida Presidente Dutra
76801062;RO;Porto Velho;Centro;Rua do Palácio
76801063;RO;Porto Velho;Centro;Travessa Guaporé
76801064;RO;Porto Velho;Centro;Rua José de Alencar
76801066;RO;Porto Velho;Centro;Rua Dom Pedro II
76801068;RO;Porto Velho;Centro;Rua José do Patrocínio
76801070;RO;Porto Velho;Centro;Rua Floriano Peixoto
76801072;RO;Porto Velho;Centro;Rua Barão do Rio Branco
76801073;RO;Porto Velho;Centro;Avenida Sete de Setembro
76801074;RO;Porto Velho;Centro;Rua José Bonifácio
76801076;RO;Porto Velho;Centro;Rua Gonçalves Dias
76801078;RO;Porto Velho;Centro;Rua Júlio de Castilho
76801080;RO;Porto Velho;Centro;Rua Afonso Pena
76801081;RO;Porto Velho;Centro;Avenida Campos Sales
76801082;RO;Porto Velho;Centro;Rua Irmã Capelli
76801084;RO;Porto Velho;Centro;Avenida Sete de Setembro
