CEP;UF;CIDADE;BAIRRO;LOGRADOURO
69301000;RR;Boa Vista;Centro;Avenida Ville Roy
69301011;RR;Boa Vista;Centro;Avenida Nossa Senhora da Consolata
69301020;RR;Boa Vista;Centro;Avenida Benjamin Constant
69301030;RR;Boa Vista;Centro;Avenida Getúlio Vargas
69301040;RR;Boa Vista;Centro;Avenida Sebastião Diniz
69301045;RR;Boa Vista;Centro;Travessa Caxangá
69301050;RR;Boa Vista;Centro;Avenida Bento Brasil
69301060;RR;Boa Vista;Centro;Rua Cerejo Cruz
69301061;RR;Boa Vista;Centro;Travessa Cerejo Cruz
69301063;RR;Boa Vista;Centro;Travessa Nossa Senhora de Nazaré
69301065;RR;Boa Vista;Centro;Travessa Ajuricaba
69301067;RR;Boa Vista;Centro;Avenida Nossa Senhora da Consolata
69301068;RR;Boa Vista;Centro;Avenida Ville Roy
69301070;RR;Boa Vista;Centro;Rua Ajuricaba
69301072;RR;Boa Vista;Centro;Avenida Benjamin Constant
69301076;RR;Boa Vista;Centro;Travessa José Coelho
69301077;RR;Boa Vista;Centro;Avenida Getúlio Vargas
69301080;RR;Boa Vista;Centro;Rua Cecília Brasil
69301081;RR;Boa Vista;Centro;Travessa Cecília Brasil
69301085;RR;Boa Vista;Centro;Avenida Doutor Sylvio Lofêgo Botelho
69301088;RR;Boa Vista;Centro;Avenida Sebastião Diniz
69301090;RR;Boa Vista;Centro;Rua Araújo Filho
69301100;RR;Boa Vista;Centro;Avenida Terêncio Lima
69301105;RR;Boa Vista;Centro;Rua Ex-Combatente Emmanuel Boechat
69301110;RR;Boa Vista;Centro;Avenida Major Williams
69301120;RR;Boa Vista;Centro;Rua Coronel Mota
69301130;RR;Boa Vista;Centro;Rua Barão do Rio Branco
69301135;RR;Boa Vista;Centro;Rua Capitão Bessa
69301140;RR;Boa Vista;Centro;Rua Alfredo Cruz
69301150;RR;Boa Vista;Centro;Rua Coronel Pinto
69301160;RR;Boa Vista;Centro;Avenida Capitão Ene Garcez
69301161;RR;Boa Vista;Centro;Avenida Capitão Ene Garcez
69301165;RR;Boa Vista;Centro;Rua José Ribeiro da Silva
69301170;RR;Boa Vista;Centro;Rua Victor Maia
69301180;RR;Boa Vista;Centro;Rua Pedro Rodrigues
69301190;RR;Boa Vista;Centro;Rua Dom Pedro I
69301200;RR;Boa Vista;Centro;Avenida Mário Homem de Melo
69301205;RR;Boa Vista;Centro;Travessa A
69301210;RR;Boa Vista;Centro;Rua José de Anchieta
69301220;RR;Boa Vista;Centro;Rua Frei José dos Inocentes
69301225;RR;Boa Vista;Centro;Travessa B
69301230;RR;Boa Vista;Centro;Rua Vidal de Negreiros
69301240;RR;Boa Vista;Centro;Rua Pedrinho Filho
69301250;RR;Boa Vista;Centro;Avenida Glaycon de Paiva
69301260;RR;Boa Vista;Centro;Rua Professor Diomedes Souto Maior
69301270;RR;Boa Vista;Centro;Rua Castelo Branco
69301280;RR;Boa Vista;Centro;Travessa Castelo Branco
69301290;RR;Boa Vista;Centro;Rua Antônio Bitencourt
69301300;RR;Boa Vista;Centro;Rua José Coelho
69301310;RR;Boa Vista;Centro;Rua Barreto Leite
69301320;RR;Boa Vista;Centro;Rua Floriano Peixoto
69301330;RR;Boa Vista;Centro;Avenida Doutor Sylvio Lofêgo Botelho
69301340;RR;Boa Vista;Centro;Rua Inácio Magalhães
69301350;RR;Boa Vista;Centro;Avenida Jaime Brasil
