CEP;UF;CIDADE;BAIRRO;LOGRADOURO
90010000;RS;Porto Alegre;Centro Histórico;Rua Siqueira Campos
90010001;RS;Porto Alegre;Centro Histórico;Rua Siqueira Campos
90010010;RS;Porto Alegre;Centro Histórico;Travessa Araújo Ribeiro
90010020;RS;Porto Alegre;Centro Histórico;Travessa Rua dos Cataventos
90010030;RS;Porto Alegre;Centro Histórico;Rua General João Manoel
90010040;RS;Porto Alegre;Centro Histórico;Rua Capitão Montanha
90010050;RS;Porto Alegre;Centro Histórico;Travessa Francisco de Leonardo Truda
90010060;RS;Porto Alegre;Centro Histórico;Praça Brigadeiro Sampaio
90010070;RS;Porto Alegre;Centro Histórico;Rua Cassiano Nascimento
90010080;RS;Porto Alegre;Centro Histórico;Rua General Bento Martins
90010090;RS;Porto Alegre;Centro Histórico;Rua José Montaury
90010100;RS;Porto Alegre;Centro Histórico;Travessa Mário Cinco Paus
90010110;RS;Porto Alegre;Centro Histórico;Avenida Mauá
90010111;RS;Porto Alegre;Centro Histórico;Travessa José Carlos Dias de Oliveira
90010120;RS;Porto Alegre;Centro Histórico;Avenida Presidente João Goulart
90010130;RS;Porto Alegre;Centro Histórico;Avenida Sepúlveda
90010140;RS;Porto Alegre;Centro Histórico;Rua Uruguai
90010150;RS;Porto Alegre;Centro Histórico;Praça da Alfândega
90010160;RS;Porto Alegre;Centro Histórico;Rua General Canabarro
90010170;RS;Porto Alegre;Centro Histórico;Praça Montevidéo
90010180;RS;Porto Alegre;Centro Histórico;Avenida Padre Tomé
90010190;RS;Porto Alegre;Centro Histórico;Rua Sete de Setembro
90010191;RS;Porto Alegre;Centro Histórico;Rua Sete de Setembro
90010200;RS;Porto Alegre;Centro Histórico;Travessa Engenheiro Acilino Carvalho
90010210;RS;Porto Alegre;Centro Histórico;Rua General Andrade Neves
90010220;RS;Porto Alegre;Centro Histórico;Avenida Senador Salgado Filho
90010221;RS;Porto Alegre;Centro Histórico;Avenida Senador Salgado Filho
90010230;RS;Porto Alegre;Centro Histórico;Rua General Câmara
90010240;RS;Porto Alegre;Centro Histórico;Rua Jerônimo Coelho
90010241;RS;Porto Alegre;Centro Histórico;Rua Jerônimo Coelho
90010250;RS;Porto Alegre;Centro Histórico;Largo João Amorim Albuquerque
90010260;RS;Porto Alegre;Centro Histórico;Rua Caldas Júnior
90010265;RS;Porto Alegre;Centro Histórico;Largo Esquina da Comunicação
90010270;RS;Porto Alegre;Centro Histórico;Rua Riachuelo
90010271;RS;Porto Alegre;Centro Histórico;Rua Riachuelo
90010272;RS;Porto Alegre;Centro Histórico;Rua Riachuelo
90010273;RS;Porto Alegre;Centro Histórico;Rua Riachuelo
90010280;RS;Porto Alegre;Centro Histórico;Rua Duque de Caxias
90010281;RS;Porto Alegre;Centro Histórico;Rua Duque de Caxias
90010282;RS;Porto Alegre;Centro Histórico;Rua Duque de Caxias
90010283;RS;Porto Alegre;Centro Histórico;Rua Duque de Caxias
90010290;RS;Porto Alegre;Centro Histórico;Rua General Salustiano
90010300;RS;Porto Alegre;Centro Histórico;Praça Marechal Deodoro
90010310;RS;Porto Alegre;Centro Histórico;Rua Demétrio Ribeiro
90010311;RS;Porto Alegre;Centro Histórico;Rua Demétrio Ribeiro
90010312;RS;Porto Alegre;Centro Histórico;Rua Demétrio Ribeiro
90010313;RS;Porto Alegre;Centro Histórico;Rua Demétrio Ribeiro
90010320;RS;Porto Alegre;Centro Histórico;Rua Coronel Fernando Machado
90010321;RS;Porto Alegre;Centro Histórico;Rua Coronel Fernando Machado
90010322;RS;Porto Alegre;Centro Histórico;Praça Marquesa de Sevigne
90010330;RS;Porto Alegre;Centro Histórico;Rua General Cipriano Ferreira
90010340;RS;Porto Alegre;Centro Histórico;Praça dos Açorianos
90010350;RS;Porto Alegre;Centro Histórico;Rua Coronel Genuino
90010360;RS;Porto Alegre;Centro Histórico;Rua General Portinho
90010370;RS;Porto Alegre;Centro Histórico;Rua Espírito Santo
90010375;RS;Porto Alegre;Centro Histórico;Praça Padre Gregório Nadal
90010380;RS;Porto Alegre;Centro Histórico;Rua General Auto
90010390;RS;Porto Alegre;Praia de Belas;Avenida Augusto de Carvalho
90010395;RS;Porto Alegre;Praia de Belas;Rua Otávio Francisco Caruso da Rocha
90010400;RS;Porto Alegre;Centro Histórico;Praça General Braga Pinheiro
90010410;RS;Porto Alegre;Centro Histórico;Rua General Vasco Alves
90010415;RS;Porto Alegre;Praia de Belas;Rua Ibanor José Tartarotti
90010420;RS;Porto Alegre;Centro Histórico;Avenida Loureiro da Silva
90010430;RS;Porto Alegre;Centro Histórico;Esplanada Luiz Celso Gomes Hyarup
90010440;RS;Porto Alegre;Praia de Belas;Parque Maurício Sirotsky Sobrinho
90010450;RS;Porto Alegre;Marcílio Dias;Largo Porto do Gasômetro
90010460;RS;Porto Alegre;Centro Histórico;Rua Washington Luiz
90010470;RS;Porto Alegre;Centro Histórico;Praça Campos Sales
90010480;RS;Porto Alegre;Centro Histórico;Largo Legalidade
90010490;RS;Porto Alegre;Centro Histórico;Viaduto José Loureiro da Silva
90010500;RS;Porto Alegre;Centro Histórico;Praça General Daltro Filho
90010510;RS;Porto Alegre;Marcílio Dias;Largo do Trabalho
90010520;RS;Porto Alegre;Centro Histórico;Praça General Osório
90010530;RS;Porto Alegre;Centro Histórico;Jardim Fernando Machado
90010540;RS;Porto Alegre;Centro Histórico;Praça Júlio Mesquita
90020000;RS;Porto Alegre;Centro Histórico;Rua dos Andradas
90020001;RS;Porto Alegre;Centro Histórico;Rua dos Andradas
90020002;RS;Porto Alegre;Centro Histórico;Rua dos Andradas
90020003;RS;Porto Alegre;Centro Histórico;Rua dos Andradas
90020004;RS;Porto Alegre;Centro Histórico;Rua dos Andradas
90020005;RS;Porto Alegre;Centro Histórico;Rua dos Andradas
90020006;RS;Porto Alegre;Centro Histórico;Rua dos Andradas
90020007;RS;Porto Alegre;Centro Histórico;Rua dos Andradas
90020008;RS;Porto Alegre;Centro Histórico;Rua dos Andradas
90020009;RS;Porto Alegre;Centro Histórico;Rua dos Andradas
90020010;RS;Porto Alegre;Centro Histórico;Rua dos Andradas
90020011;RS;Porto Alegre;Centro Histórico;Rua dos Andradas
90020012;RS;Porto Alegre;Centro Histórico;Rua dos Andradas
90020013;RS;Porto Alegre;Centro Histórico;Rua dos Andradas
90020014;RS;Porto Alegre;Centro Histórico;Largo Esquina Democrática
90020015;RS;Porto Alegre;Centro Histórico;Rua dos Andradas
90020020;RS;Porto Alegre;Centro Histórico;Avenida Borges de Medeiros
90020021;RS;Porto Alegre;Centro Histórico;Avenida Borges de Medeiros
90020022;RS;Porto Alegre;Centro Histórico;Avenida Borges de Medeiros
90020023;RS;Porto Alegre;Centro Histórico;Avenida Borges de Medeiros
90020024;RS;Porto Alegre;Centro Histórico;Avenida Borges de Medeiros
90020025;RS;Porto Alegre;Centro Histórico;Avenida Borges de Medeiros
90020030;RS;Porto Alegre;Centro Histórico;Viaduto Otávio Rocha
90020040;RS;Porto Alegre;Centro Histórico;Praça Doutor Pedro Borba
90020050;RS;Porto Alegre;Centro Histórico;Largo Jornalista Glênio Peres
90020060;RS;Porto Alegre;Centro Histórico;Rua Marechal Floriano Peixoto
90020061;RS;Porto Alegre;Centro Histórico;Rua Marechal Floriano Peixoto
90020070;RS;Porto Alegre;Centro Histórico;Galeria Mercado Público
90020080;RS;Porto Alegre;Centro Histórico;Praça Quinze de Novembro
90020090;RS;Porto Alegre;Centro Histórico;Rua Professor Annes Dias
90020100;RS;Porto Alegre;Centro Histórico;Rua Vigário José Inácio
90020110;RS;Porto Alegre;Centro Histórico;Rua Vigário José Inácio
90020120;RS;Porto Alegre;Centro Histórico;Rua Doutor Flores
90020121;RS;Porto Alegre;Centro Histórico;Rua Doutor Flores
90020122;RS;Porto Alegre;Centro Histórico;Rua Doutor Flores
90020123;RS;Porto Alegre;Centro Histórico;Rua Doutor Flores
90020130;RS;Porto Alegre;Centro Histórico;Praça Conde de Porto Alegre
90020140;RS;Porto Alegre;Centro Histórico;Praça Otávio Rocha
90020150;RS;Porto Alegre;Centro Histórico;Avenida Otávio Rocha
90020151;RS;Porto Alegre;Centro Histórico;Avenida Otávio Rocha
90020160;RS;Porto Alegre;Centro Histórico;Praça Dom Feliciano
90020170;RS;Porto Alegre;Centro Histórico;Rua General Vitorino
90020171;RS;Porto Alegre;Centro Histórico;Rua General Vitorino
90020180;RS;Porto Alegre;Centro Histórico;Rua Senhor dos Passos
90020190;RS;Porto Alegre;Centro Histórico;Largo dos Medeiros
90030000;RS;Porto Alegre;Centro Histórico;Rua Voluntários da Pátria
90030001;RS;Porto Alegre;Centro Histórico;Rua Voluntários da Pátria
90030002;RS;Porto Alegre;Centro Histórico;Rua Voluntários da Pátria
90030003;RS;Porto Alegre;Centro Histórico;Rua Voluntários da Pátria
90030010;RS;Porto Alegre;Centro Histórico;Rua Comendador Manoel Pereira
90030020;RS;Porto Alegre;Centro Histórico;Rua Carlos Chagas
90030030;RS;Porto Alegre;Centro Histórico;Rua da Conceição
90030040;RS;Porto Alegre;Centro Histórico;Rua Coronel Vicente
90030041;RS;Porto Alegre;Centro Histórico;Rua Coronel Vicente
90030050;RS;Porto Alegre;Marcílio Dias;Praça Edgar Schneider
90030051;RS;Porto Alegre;Centro Histórico;Praça Revolução Farroupilha
90030060;RS;Porto Alegre;Centro Histórico;Largo Edgar Koetz
90030080;RS;Porto Alegre;Centro Histórico;Avenida Mauá
90030100;RS;Porto Alegre;Centro Histórico;Praça Rui Barbosa
90030110;RS;Porto Alegre;Centro Histórico;Largo Visconde do Cairu
90030120;RS;Porto Alegre;Centro Histórico;Rua Chaves Barcelos
90030130;RS;Porto Alegre;Centro Histórico;Avenida Júlio de Castilhos
90030131;RS;Porto Alegre;Centro Histórico;Avenida Júlio de Castilhos
90030140;RS;Porto Alegre;Centro Histórico;Avenida Alberto Bins
90030141;RS;Porto Alegre;Centro Histórico;Avenida Alberto Bins
90030142;RS;Porto Alegre;Centro Histórico;Avenida Alberto Bins
90030143;RS;Porto Alegre;Centro Histórico;Avenida Alberto Bins
90030150;RS;Porto Alegre;Centro Histórico;Rua Pinto Bandeira
90030160;RS;Porto Alegre;Centro Histórico;Praça Osvaldo Cruz
90030170;RS;Porto Alegre;Centro Histórico;Praça Pereira Parobé
90035000;RS;Porto Alegre;Floresta;Rua Ramiro Barcelos
90035001;RS;Porto Alegre;Floresta;Rua Ramiro Barcelos
90035002;RS;Porto Alegre;Independência;Rua Ramiro Barcelos
90035003;RS;Porto Alegre;Rio Branco;Rua Ramiro Barcelos
90035004;RS;Porto Alegre;Floresta;Rua Ramiro Barcelos
90035005;RS;Porto Alegre;Floresta;Rua Ramiro Barcelos
90035006;RS;Porto Alegre;Independência;Rua Ramiro Barcelos
90035007;RS;Porto Alegre;Rio Branco;Rua Ramiro Barcelos
90035010;RS;Porto Alegre;Rio Branco;Rua Coronel Frederico Linck
90035020;RS;Porto Alegre;Marcílio Dias;Rua Comendador Álvaro Guaspari
90035030;RS;Porto Alegre;Floresta;Rua Doutor Barros Cassal
90035040;RS;Porto Alegre;Centro Histórico;Largo Vespasiano Júlio Veppo
90035050;RS;Porto Alegre;Marcílio Dias;Rua Garibaldi
90035051;RS;Porto Alegre;Bom Fim;Rua Garibaldi
90035052;RS;Porto Alegre;Bom Fim;Rua Garibaldi
90035060;RS;Porto Alegre;Independência;Rua Irmão José Otão
90035070;RS;Porto Alegre;Independência;Avenida Independência
