CEP;UF;CIDADE;BAIRRO;LOGRADOURO
88010000;SC;Florianópolis;Centro;Rua Felipe Schmidt
88010001;SC;Florianópolis;Centro;Rua Felipe Schmidt
88010002;SC;Florianópolis;Centro;Rua Felipe Schmidt
88010010;SC;Florianópolis;Centro;Rua Trajano
88010020;SC;Florianópolis;Centro;Rua Deodoro
88010030;SC;Florianópolis;Centro;Rua Jerônimo Coelho
88010040;SC;Florianópolis;Centro;Rua Álvaro de Carvalho
88010050;SC;Florianópolis;Centro;Largo Fagundes
88010055;SC;Florianópolis;Centro;Praça Pio XII
88010060;SC;Florianópolis;Centro;Rua Sete de Setembro
88010070;SC;Florianópolis;Centro;Rua Pedro Ivo
88010080;SC;Florianópolis;Centro;Rua Bento Gonçalves
88010090;SC;Florianópolis;Centro;Rua Padre Roma
88010095;SC;Florianópolis;Centro;Praça do Desterro
88010100;SC;Florianópolis;Centro;Rua Conselheiro Mafra
88010101;SC;Florianópolis;Centro;Rua Conselheiro Mafra
88010102;SC;Florianópolis;Centro;Rua Conselheiro Mafra
88010110;SC;Florianópolis;Centro;Largo da Alfândega
88010120;SC;Florianópolis;Centro;Rua Cristóvão Nunes Pires
88010130;SC;Florianópolis;Centro;Rua Hoepcke
88010135;SC;Florianópolis;Centro;Rua Claudino Bento da Silva
88010140;SC;Florianópolis;Centro;Alameda Adolfo Konder
88010145;SC;Florianópolis;Centro;Praça Hercílio Luz
88010150;SC;Florianópolis;Centro;Rua Jornalista Assis Chateaubriand
88010155;SC;Florianópolis;Centro;Praça José Mauro da Costa Ortiga
88010200;SC;Florianópolis;Centro;Rua Francisco Tolentino
88010210;SC;Florianópolis;Centro;Rua Doutor Frederico Rolla
88010220;SC;Florianópolis;Centro;Rua Henrique Valgas
88010225;SC;Florianópolis;Centro;Servidão Antônio Silveira
88010230;SC;Florianópolis;Centro;Avenida Paulo Fontes
88010235;SC;Florianópolis;Centro;Praça França
88010240;SC;Florianópolis;Centro;Rua Procurador Abelardo Gomes
88010245;SC;Florianópolis;Centro;Praça Adolfo Luiz Dias
88010250;SC;Florianópolis;Centro;Rua Deputado João Bertoli
88010260;SC;Florianópolis;Centro;Rua Walter Barros da Silva
88010270;SC;Florianópolis;Centro;Rua Pedro Bittencourt
88010280;SC;Florianópolis;Centro;Rua Antônio Pereira Oliveira Neto
88010290;SC;Florianópolis;Centro;Avenida Governador Gustavo Richard
88010295;SC;Florianópolis;Centro;Parque Walter Lange
88010299;SC;Florianópolis;Centro;Parque Francisco Dias Velho
88010300;SC;Florianópolis;Centro;Rua Tenente Silveira
88010301;SC;Florianópolis;Centro;Rua Tenente Silveira
88010310;SC;Florianópolis;Centro;Rua Padre Schuler
88010320;SC;Florianópolis;Centro;Rua Vidal Ramos
88010400;SC;Florianópolis;Centro;Praça Quinze de Novembro
88010405;SC;Florianópolis;Centro;Praça Fernando Machado
88010410;SC;Florianópolis;Centro;Rua Antônio Luz
88010420;SC;Florianópolis;Centro;Rua João Pinto
88010430;SC;Florianópolis;Centro;Rua Tiradentes
88010440;SC;Florianópolis;Centro;Rua Victor Meirelles
88010450;SC;Florianópolis;Centro;Rua Saldanha Marinho
88010460;SC;Florianópolis;Centro;Rua Nunes Machado
88010470;SC;Florianópolis;Centro;Travessa Osmar Regueira
88010472;SC;Florianópolis;Centro;Travessa Ratcliff
88010500;SC;Florianópolis;Centro;Rua Anita Garibaldi
88010510;SC;Florianópolis;Centro;Rua Fernando Machado
88010520;SC;Florianópolis;Centro;Rua Araújo Figueiredo
88010530;SC;Florianópolis;Centro;Rua Arcipreste Paiva
88010540;SC;Florianópolis;Centro;Praça Pereira Oliveira
88010550;SC;Florianópolis;Centro;Rua Padre Miguelinho
88010560;SC;Florianópolis;Centro;Rua dos Ilhéus
88015000;SC;Florianópolis;Centro;Rua Marechal Guilherme
88015010;SC;Florianópolis;Centro;Rua Presidente Nereu Ramos
88015020;SC;Florianópolis;Centro;Rua Santos Dumont
88015030;SC;Florianópolis;Centro;Rua Lacerda Coutinho
88015040;SC;Florianópolis;Centro;Rua Martinho Calado
88015050;SC;Florianópolis;Centro;Rua Brigadeiro Silva Paes
88015060;SC;Florianópolis;Centro;Rua Coronel Melo Alvim
88015070;SC;Florianópolis;Centro;Rua Almirante Dorval Melchíades de Souza
88015080;SC;Florianópolis;Centro;Rua Deputado Leoberto Leal
88015090;SC;Florianópolis;Centro;Rua Adolfo Melo
88015100;SC;Florianópolis;Centro;Avenida Prefeito Osmar Cunha
88015110;SC;Florianópolis;Centro;Rua Antônio Dib Mussi
88015120;SC;Florianópolis;Centro;Rua Dom Jaime Câmara
88015130;SC;Florianópolis;Centro;Rua Esteves Júnior
88015140;SC;Florianópolis;Centro;Rua São Francisco
88015150;SC;Florianópolis;Centro;Rua Prefeito Coronel Antenor Mesquita
88015160;SC;Florianópolis;Centro;Rua Professor Luiz Sanches Bezerra da Trindade
88015170;SC;Florianópolis;Centro;Alameda Governador Heriberto Hulse
88015179;SC;Florianópolis;Centro;Praça Gilberto Guerreiro da Fonseca
88015180;SC;Florianópolis;Centro;Rua Professor Herminio Jacques
88015185;SC;Florianópolis;Centro;Rua Professor Alfredo Xavier Vieira
88015190;SC;Florianópolis;Centro;Rua Madalena Barbi
88015195;SC;Florianópolis;Centro;Servidão João O. Neves
88015200;SC;Florianópolis;Centro;Avenida Rio Branco
88015201;SC;Florianópolis;Centro;Avenida Rio Branco
88015202;SC;Florianópolis;Centro;Avenida Rio Branco
88015203;SC;Florianópolis;Centro;Avenida Rio Branco
88015204;SC;Florianópolis;Centro;Avenida Rio Branco
88015205;SC;Florianópolis;Centro;Avenida Rio Branco
88015210;SC;Florianópolis;Centro;Travessa Albertina Ganzo
88015220;SC;Florianópolis;Centro;Rua Feliciano Nunes Pires
88015230;SC;Florianópolis;Centro;Rua Presidente Coutinho
88015231;SC;Florianópolis;Centro;Rua Presidente Coutinho
88015240;SC;Florianópolis;Centro;Avenida Professor Othon Gama D'Eça
88015245;SC;Florianópolis;Centro;Praça Dom Pedro I
88015250;SC;Florianópolis;Centro;Rua Doutor Armínio Tavares
88015260;SC;Florianópolis;Centro;Rua Coronel Lopes Vieira
88015270;SC;Florianópolis;Centro;Rua Irmã Benwarda
88015280;SC;Florianópolis;Centro;Vila Tenente Sapucaia
88015290;SC;Florianópolis;Centro;Rua Diniz Júnior
88015300;SC;Florianópolis;Centro;Avenida Trompowsky
88015310;SC;Florianópolis;Centro;Rua Dom Joaquim
88015320;SC;Florianópolis;Centro;Rua São Jorge
88015330;SC;Florianópolis;Centro;Rua Santo Inácio de Loyola
88015340;SC;Florianópolis;Centro;Rua Barão de Batovi
88015345;SC;Florianópolis;Centro;Praça Osvaldo Bulcão Viana
88015350;SC;Florianópolis;Centro;Rua Padre Clemente
88015360;SC;Florianópolis;Centro;Rua Luiz Delfino
88015370;SC;Florianópolis;Centro;Rua Professor Madeira Neves
88015380;SC;Florianópolis;Centro;Rua Almirante Alvim
88015390;SC;Florianópolis;Centro;Largo Benjamin Constant
