CEP;UF;CIDADE;BAIRRO;LOGRADOURO
49010000;SE;Aracaju;Centro;Rua Laranjeiras
49010010;SE;Aracaju;Centro;Avenida Otoniel Dórea
49010020;SE;Aracaju;Centro;Rua Propriá
49010030;SE;Aracaju;Centro;Avenida Rio Branco
49010040;SE;Aracaju;Centro;Praça Olímpio Campos
49010050;SE;Aracaju;Centro;Avenida Ivo do Prado
49010060;SE;Aracaju;Centro;Praça Almirante Barroso
49010070;SE;Aracaju;Centro;Travessa Silva Ribeiro
49010080;SE;Aracaju;Centro;Praça Fausto Cardoso
49010090;SE;Aracaju;Centro;Travessa Deusdedith Fontes
49010100;SE;Aracaju;Centro;Travessa Benjamin Constant
49010110;SE;Aracaju;Centro;Rua José do Prado Franco
49010120;SE;Aracaju;Centro;Travessa José de Faro
49010130;SE;Aracaju;Centro;Rua João Pessoa
49010140;SE;Aracaju;Centro;Rua Itaporanga
49010150;SE;Aracaju;Centro;Rua Pacatuba
49010160;SE;Aracaju;Centro;Rua Maruim
49010170;SE;Aracaju;Centro;Rua Itabaiana
49010180;SE;Aracaju;Centro;Rua Estância
49010181;SE;Aracaju;Centro;Vila Queiroz
49010190;SE;Aracaju;Centro;Rua Itabaianinha
49010200;SE;Aracaju;Centro;Travessa Tenente Martinho Garcez
49010210;SE;Aracaju;Centro;Largo Esperanto
49010220;SE;Aracaju;Centro;Praça Camerino
49010230;SE;Aracaju;Centro;Rua Apulcro Mota
49010240;SE;Aracaju;Centro;Praça Camerino
49010250;SE;Aracaju;Centro;Avenida Doutor Carlos Firpo
49010260;SE;Aracaju;Centro;Praça Camerino
49010270;SE;Aracaju;Centro;Praça Godofredo Diniz
49010280;SE;Aracaju;Centro;Rua Boquim
49010281;SE;Aracaju;Centro;Vila Senhor do Bomfim
49010282;SE;Aracaju;Centro;Vila Eunice
49010290;SE;Aracaju;Centro;Rua Santo Amaro
49010300;SE;Aracaju;Centro;Travessa Eduardo Cruz Sobrinho
49010310;SE;Aracaju;Centro;Rua Santa Luzia
49010320;SE;Aracaju;Centro;Praça da Bandeira
49010330;SE;Aracaju;Centro;Rua Arauá
49010340;SE;Aracaju;Centro;Avenida Barão de Maruim
49010350;SE;Aracaju;Centro;Vila Angélica
49010360;SE;Aracaju;Centro;Travessa João Francisco da Silveira
49010370;SE;Aracaju;Centro;Rua Capela
49010380;SE;Aracaju;Centro;Rua São Cristóvão
49010390;SE;Aracaju;Centro;Rua Lagarto
49010391;SE;Aracaju;Centro;Travessa José D. Fontes
49010400;SE;Aracaju;Centro;Travessa São Cristóvão Velho
49010410;SE;Aracaju;Centro;Avenida Gonçalo Prado Rolemberg
49010420;SE;Aracaju;Centro;Rua Geruzinho
49010430;SE;Aracaju;Centro;Rua Simão Dias
49010440;SE;Aracaju;Centro;Rua Alecrim
49010450;SE;Aracaju;Centro;Rua Siriri
49010451;SE;Aracaju;Centro;Vila Rosângela
49010460;SE;Aracaju;Centro;Rua Geru
49010470;SE;Aracaju;Centro;Praça da Bandeira
49010480;SE;Aracaju;Centro;Vila Selma
49010490;SE;Aracaju;Centro;Avenida Pedro Calazans
49010500;SE;Aracaju;Centro;Travessa Baltazar Gois
49010510;SE;Aracaju;Centro;Praça da Bandeira
49010520;SE;Aracaju;Centro;Praça General Valadão
49010540;SE;Aracaju;Centro;Travessa Hélio Ribeiro
49010560;SE;Aracaju;Centro;Travessa João Quintiliano da Fonseca
49010580;SE;Aracaju;Centro;Praça João XXIII
49010600;SE;Aracaju;Centro;Rua Divina Pastora
