CEP;UF;CIDADE;BAIRRO;LOGRADOURO
77001002;TO;Palmas;Plano Diretor Norte;Praça Girassóis
77001004;TO;Palmas;Plano Diretor Norte;Quadra 101 Norte Avenida Joaquim Teotônio Segurado
77001006;TO;Palmas;Plano Diretor Norte;Quadra 101 Norte Rua NS A
77001008;TO;Palmas;Plano Diretor Norte;Quadra 101 Norte Avenida LO 2
77001010;TO;Palmas;Plano Diretor Norte;Quadra 101 Norte Avenida NS 1
77001012;TO;Palmas;Plano Diretor Norte;Quadra 101 Norte Avenida LO 4
77001014;TO;Palmas;Plano Diretor Norte;Quadra 103 Norte Avenida Juscelino Kubitschek
77001016;TO;Palmas;Plano Diretor Norte;Quadra 103 Norte Rua NO 1
77001018;TO;Palmas;Plano Diretor Norte;Quadra 103 Norte Rua de Pedestre NO 3
77001020;TO;Palmas;Plano Diretor Norte;Quadra 103 Norte Rua NO 5
77001022;TO;Palmas;Plano Diretor Norte;Quadra 103 Norte Avenida LO 2
77001024;TO;Palmas;Plano Diretor Norte;Quadra 103 Norte Rua de Pedestre NO 2
77001026;TO;Palmas;Plano Diretor Norte;Quadra 103 Norte Rua NO 4
77001028;TO;Palmas;Plano Diretor Norte;Quadra 103 Norte Rua de Pedestre NO 6
77001032;TO;Palmas;Plano Diretor Norte;Quadra 103 Norte Rua NO 7
77001034;TO;Palmas;Plano Diretor Norte;Quadra 103 Norte Rua de Pedestre NO 9
77001036;TO;Palmas;Plano Diretor Norte;Quadra 103 Norte Rua NO 11
77001038;TO;Palmas;Plano Diretor Norte;Quadra 103 Norte Avenida LO 4
77001040;TO;Palmas;Plano Diretor Norte;Quadra 103 Norte Avenida NS 1
77001042;TO;Palmas;Plano Diretor Norte;Quadra 103 Norte Avenida NS 3
77001046;TO;Palmas;Plano Diretor Norte;Quadra 105 Norte Avenida LO 4
77001048;TO;Palmas;Plano Diretor Norte;Quadra 105 Norte Alameda das Aroeiras
77001049;TO;Palmas;Plano Diretor Norte;Quadra 105 Norte Alameda das Pitangueiras
77001050;TO;Palmas;Plano Diretor Norte;Quadra 105 Norte Alameda das Mangueiras
77001052;TO;Palmas;Plano Diretor Norte;Quadra 105 Norte Alameda dos Cajueiros
77001054;TO;Palmas;Plano Diretor Norte;Quadra 105 Norte Alameda dos Jotobás
77001056;TO;Palmas;Plano Diretor Norte;Quadra 105 Norte Alameda dos Ipês
77001058;TO;Palmas;Plano Diretor Norte;Quadra 105 Norte Alameda das Caraíbas
77001060;TO;Palmas;Plano Diretor Norte;Quadra 105 Norte Alameda dos Buritis
77001062;TO;Palmas;Plano Diretor Norte;Quadra 105 Norte Avenida Juscelino Kubitschek
77001070;TO;Palmas;Plano Diretor Norte;Quadra 105 Norte Avenida NS 5
77001072;TO;Palmas;Plano Diretor Norte;Quadra 105 Norte Avenida NS 3
77001074;TO;Palmas;Plano Diretor Norte;Quadra AE 107 Norte Rua NS 5 A
77001076;TO;Palmas;Plano Diretor Norte;Quadra AE 107 Norte Avenida LO 2 A
77001078;TO;Palmas;Plano Diretor Norte;Quadra AE 107 Norte Avenida NS 5
77001080;TO;Palmas;Plano Diretor Norte;Quadra AV 107 Norte Avenida Juscelino Kubitschek
77001082;TO;Palmas;Plano Diretor Norte;Quadra AV 107 Norte Avenida LO 2 A
77001084;TO;Palmas;Plano Diretor Norte;Quadra AV 107 Norte Avenida LO 4
77001086;TO;Palmas;Plano Diretor Norte;Quadra AV 107 Norte Avenida NS 15
77001088;TO;Palmas;Plano Diretor Norte;Quadra AV 107 Norte Avenida NS 5 A
77001090;TO;Palmas;Plano Diretor Norte;Quadra 109 Norte Avenida NS 15
77001092;TO;Palmas;Plano Diretor Norte;Quadra 109 Norte Avenida Juscelino Kubitschek
77001094;TO;Palmas;Plano Diretor Norte;Quadra 109 Norte Avenida NS 7
77001096;TO;Palmas;Plano Diretor Norte;Rodovia TO080
77001098;TO;Palmas;Plano Diretor Norte;Quadra 107 Norte Avenida NS 5
77001100;TO;Palmas;Plano Diretor Norte;Quadra 107 Norte Avenida LO 2 A
77001102;TO;Palmas;Plano Diretor Norte;Quadra 107 Norte Avenida LO 14
77001104;TO;Palmas;Plano Diretor Norte;Quadra 107 Norte Alameda do Comércio Norte
77001106;TO;Palmas;Plano Diretor Norte;Quadra 107 Norte Alameda 111
77001108;TO;Palmas;Plano Diretor Norte;Quadra 107 Norte Alameda 120
77001110;TO;Palmas;Plano Diretor Norte;Quadra 107 Norte Alameda 123
77001112;TO;Palmas;Plano Diretor Norte;Quadra 107 Norte Alameda 122
77001114;TO;Palmas;Plano Diretor Norte;Quadra 107 Norte Alameda 121
77001116;TO;Palmas;Plano Diretor Norte;Quadra 107 Norte Alameda 110
77001118;TO;Palmas;Plano Diretor Norte;Quadra 107 Norte Alameda 130
77001120;TO;Palmas;Plano Diretor Norte;Quadra 107 Norte Alameda 131
77001122;TO;Palmas;Plano Diretor Norte;Quadra 107 Norte Alameda 132
77001124;TO;Palmas;Plano Diretor Norte;Quadra 107 Norte Alameda 133
77001126;TO;Palmas;Plano Diretor Norte;Quadra 107 Norte Alameda NS 15
77001128;TO;Palmas;Plano Diretor Norte;Quadra 201 Norte Avenida Joaquim Teotônio Segurado
77001130;TO;Palmas;Plano Diretor Norte;Quadra 201 Norte Rua LO 6 B
77001132;TO;Palmas;Plano Diretor Norte;Quadra 201 Norte Avenida LO 4
77001133;TO;Palmas;Plano Diretor Norte;Quadra 201 Norte Rua NO 23
77001134;TO;Palmas;Plano Diretor Norte;Quadra 201 Norte Avenida NS 1
77001136;TO;Palmas;Plano Diretor Norte;Quadra AV 201 Norte Avenida NS 1
77001138;TO;Palmas;Plano Diretor Norte;Quadra AV 201 Norte Avenida Joaquim Teotônio Segurado
77001140;TO;Palmas;Plano Diretor Norte;Quadra AV 201 Norte Rua LO 6 B
77001142;TO;Palmas;Plano Diretor Norte;Quadra 203 Norte Avenida LO 4
77001143;TO;Palmas;Plano Diretor Norte;Quadra 203 Norte Alameda 4
77001144;TO;Palmas;Plano Diretor Norte;Quadra 203 Norte Avenida LO 6
77001146;TO;Palmas;Plano Diretor Norte;Quadra 203 Norte Avenida NS 1
77001148;TO;Palmas;Plano Diretor Norte;Quadra 203 Norte Avenida NS 3
77001150;TO;Palmas;Plano Diretor Norte;Quadra AV 203 Norte Avenida NS 5
77001152;TO;Palmas;Plano Diretor Norte;Quadra AV 203 Norte Avenida NS 1
77001154;TO;Palmas;Plano Diretor Norte;Quadra AV 203 Norte Avenida LO 6
77001156;TO;Palmas;Plano Diretor Norte;Quadra 205 Norte Avenida LO 8
77001158;TO;Palmas;Plano Diretor Norte;Quadra 205 Norte Alameda 1
77001160;TO;Palmas;Plano Diretor Norte;Quadra 205 Norte Avenida NS 15
77001162;TO;Palmas;Plano Diretor Norte;Quadra 205 Norte Alameda 7
77001163;TO;Palmas;Plano Diretor Norte;Quadra 205 Norte Avenida NS 3
77001164;TO;Palmas;Plano Diretor Norte;Quadra 205 Norte Alameda 6
77001166;TO;Palmas;Plano Diretor Norte;Quadra 205 Norte Alameda 5
